apk,cls,method,sig,event,target_invoke,invoke_off,branch_srcs,direction,app_code,ev
com.blacksquircle.ui_10028.apk,org.bouncycastle.math.ec.custom.sec.SecP384R1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001b,backward,0,['SecureRandomSpec_next2Event']
com.blacksquircle.ui_10028.apk,org.bouncycastle.math.ec.custom.sec.SecP521R1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,0023,backward,0,['SecureRandomSpec_next2Event']
com.blacksquircle.ui_10028.apk,org.bouncycastle.x509.X509Util,calculateSignature,(Lorg/bouncycastle/asn1/ASN1ObjectIdentifier;Ljava/lang/String;Ljava/lang/String;Ljava/security/PrivateKey;Ljava/security/SecureRandom;Lorg/bouncycastle/asn1/ASN1Encodable;)[B,SignatureSpec_i1Event,Ljava/security/Signature;.initSign:(Ljava/security/PrivateKey;)V,0017,000b,forward,0,['SignatureSpec_i1Event']
com.blacksquircle.ui_10028.apk,org.bouncycastle.x509.X509Util,calculateSignature,(Lorg/bouncycastle/asn1/ASN1ObjectIdentifier;Ljava/lang/String;Ljava/security/PrivateKey;Ljava/security/SecureRandom;Lorg/bouncycastle/asn1/ASN1Encodable;)[B,SignatureSpec_i1Event,Ljava/security/Signature;.initSign:(Ljava/security/PrivateKey;)V,0017,000b,forward,0,['SignatureSpec_i1Event']
com.craxiom.networksurvey_114.apk,com.google.android.gms.measurement.internal.zzpg,zzaH,(Ljava/lang/String;J)Z,SecureRandomSpec_next1Event,Ljava/security/SecureRandom;.nextInt:(I)I,0bc6,0b8e,forward,0,['SecureRandomSpec_next1Event']
com.craxiom.networksurvey_114.apk,io.netty.handler.ssl.SslContext,buildKeyManagerFactory,(Ljava/security/KeyStore;Ljava/lang/String;[CLjavax/net/ssl/KeyManagerFactory;)Ljavax/net/ssl/KeyManagerFactory;,KeyManagerFactorySpec_initEvent,Ljavax/net/ssl/KeyManagerFactory;.init:(Ljava/security/KeyStore;[C)V,0014,0005,forward,0,['KeyManagerFactorySpec_initEvent']
com.craxiom.networksurvey_114.apk,io.netty.handler.ssl.SslContext,buildTrustManagerFactory,([Ljava/security/cert/X509Certificate;Ljavax/net/ssl/TrustManagerFactory;Ljava/lang/String;)Ljavax/net/ssl/TrustManagerFactory;,TrustManagerFactorySpec_initEvent,Ljavax/net/ssl/TrustManagerFactory;.init:(Ljava/security/KeyStore;)V,0037,002a,forward,0,['TrustManagerFactorySpec_initEvent']
com.craxiom.networksurvey_114.apk,io.netty.handler.ssl.ReferenceCountedOpenSslClientContext,newSessionContext,(Lio/netty/handler/ssl/ReferenceCountedOpenSslContext;JLio/netty/handler/ssl/OpenSslEngineMap;[Ljava/security/cert/X509Certificate;Ljavax/net/ssl/TrustManagerFactory;[Ljava/security/cert/X509Certificate;Ljava/security/PrivateKey;Ljava/lang/String;Ljavax/net/ssl/KeyManagerFactory;Ljava/lang/String;JJLio/netty/handler/ssl/ResumptionController;)Lio/netty/handler/ssl/OpenSslSessionContext;,KeyManagerFactorySpec_initEvent,Ljavax/net/ssl/KeyManagerFactory;.init:(Ljava/security/KeyStore;[C)V,0072,0061,forward,0,['KeyManagerFactorySpec_initEvent']
com.craxiom.networksurvey_114.apk,io.netty.handler.ssl.ReferenceCountedOpenSslServerContext,newSessionContext,(Lio/netty/handler/ssl/ReferenceCountedOpenSslContext;JLio/netty/handler/ssl/OpenSslEngineMap;[Ljava/security/cert/X509Certificate;Ljavax/net/ssl/TrustManagerFactory;[Ljava/security/cert/X509Certificate;Ljava/security/PrivateKey;Ljava/lang/String;Ljavax/net/ssl/KeyManagerFactory;Ljava/lang/String;JJLio/netty/handler/ssl/ResumptionController;)Lio/netty/handler/ssl/OpenSslServerSessionContext;,KeyManagerFactorySpec_initEvent,Ljavax/net/ssl/KeyManagerFactory;.init:(Ljava/security/KeyStore;[C)V,006e,005d,forward,0,['KeyManagerFactorySpec_initEvent']
com.defname.localshare_14.apk,io.ktor.server.engine.EnvironmentUtilsJvmKt,getStore,(Ljava/io/File;Ljava/lang/String;Lkotlin/jvm/functions/Function1;)Ljava/security/KeyStore;,KeyStoreSpec_loadEvent,Ljava/security/KeyStore;.load:(Ljava/io/InputStream;[C)V,0029,0024,forward,0,['KeyStoreSpec_loadEvent']
