,0
com.starry.greenstash_440.apk,10
com.starry.myne_500.apk,7
com.surfaceocean.nexttraceroute_16.apk,14
com.tananaev.passportreader_22.apk,401
com.tk.quicksearch_65.apk,72
com.trianguloy.urlchecker_47.apk,1
com.vermont.possin_8.apk,173
com.vishaltelangre.nerdcalci_490.apk,1
com.vrem.wifianalyzer_71.apk,1
com.yogeshpaliyal.deepr_28.apk,29
de.luhmer.owncloudnewsreader_196.apk,13
de.lukasneugebauer.nextcloudcookbook_62.apk,11
de.markusfisch.android.binaryeye_174.apk,379
de.markusfisch.android.shadereditor_93.apk,6
de.stephanlindauer.criticalmaps_104.apk,7
dev.anilbeesetti.nextplayer_42.apk,12
dev.dettmer.simplenotes_41.apk,76
dev.itsvic.parceltracker_10501000.apk,11
dev.leonlatsch.photok_62.apk,45
dev.patri9ck.a2ln_25.apk,3
dev.sebaubuntu.athena_17.apk,10
dev.spiegl.flyingcarpet_21.apk,3
dev.ukanth.ufirewall_20260301.apk,24
eu.darken.myperm_20101000.apk,10
eu.darken.sdmse_10705000.apk,15
eu.faircode.email_2322.apk,450
eu.opencloud.android_9.apk,33
fr.corenting.traficparis_34.apk,12
github.paroj.dsub2000_217.apk,16
io.github.garemat.lunachron_23201.apk,16
io.github.jd1378.otphelper_52000.apk,6
io.github.samolego.canta_225.apk,6
io.keepalive.android_133.apk,7
io.treehouses.remote_6098.apk,44
it.danieleverducci.nextcloudmaps_9.apk,5
it.niedermann.owncloud.notes_340000090.apk,362
jwtc.android.chess_283.apk,9
me.diamondforge.tokn_19.apk,277
me.hackerchick.sharetoinputstick_26.apk,4
me.mudkip.moememos_48.apk,11
me.rosuh.easywatermark_21000.apk,9
me.testcase.ognarviewer_25.apk,5
me.timschneeberger.rootlessjamesdsp_51.apk,10
me.zhanghai.android.untracker_9.apk,7
net.adhikary.mrtbuddy_24.apk,6
net.christianbeier.droidvnc_ng_60.apk,1
net.gaast.giggity_769.apk,0
net.osmtracker_73.apk,3
net.pfiers.osmfocus_1009013.apk,13
net.phbwt.paperwork_1003007.apk,9
nz.eloque.foss_wallet_111.apk,8
org.cry.otp_31.apk,3
org.css_apps_m3.password_manager_16.apk,76
org.fedorahosted.freeotp_48.apk,17
org.fossify.calendar_20.apk,1
org.fossify.keyboard_14.apk,1
org.fossify.math_10.apk,1
org.fossify.messages_20.apk,1
org.fossify.musicplayer_14.apk,6
org.fossify.notes_13.apk,1
org.fossify.paint_7.apk,1
org.fossify.voicerecorder_18.apk,1
org.glpi.inventory.agent_39469.apk,9
org.hwyl.sexytopo_93.apk,12
org.isoron.uhabits_20301.apk,7
org.jellyfin.mobile_2060499.apk,16
org.liberty.android.fantastischmemo_241.apk,11
org.musicbrainz.picard.barcodescanner_38.apk,10
org.nqmgaming.aneko_34.apk,15
org.nsh07.pomodoro_34.apk,1
org.openhab.habdroid_589.apk,80
org.piepmeyer.gauguin_75.apk,4
org.prauga.messages_8.apk,17
org.quantumbadger.redreader_117.apk,17
org.tomasino.stutter_29.apk,9
org.totschnig.myexpenses_858.apk,99
org.wikipedia_50595.apk,14
rocks.poopjournal.metadataremover_20020.apk,349
se.arctosoft.vault_41.apk,86
swati4star.createpdf_110.apk,307
systems.sieber.droid_scep_7.apk,324
ua.acclorite.book_story_14.apk,323
ua.com.radiokot.lnaddr2invoice_8.apk,9
ua.com.radiokot.photoprism_67.apk,26
uk.org.ngo.squeezer_158.apk,5
vadimerenkov.aucards_21.apk,11
