,0
app.eduroam.geteduroam_2685.apk,14
app.maskan.chat_90.apk,73
app.michaelwuensch.bitbanana_79.apk,131
app.pachli_50.apk,142
app.plugbrain.android_154.apk,6
app.pwhs.universalinstaller_24.apk,54
at.techbee.jtx_216000015.apk,17
be.digitalia.fosdem_2300230.apk,14
br.com.colman.petals_3040000.apk,6
cc.sovellus.vrcaa_300007.apk,7
ch.joshuah.bibleverseapp_8.apk,9
ch.rmy.android.http_shortcuts_1104060001.apk,54
co.epitre.aelf_lectures_86.apk,17
com.a4a.g8invoicing_50.apk,80
com.absinthe.libchecker_2671.apk,73
com.afkanerd.deku_83.apk,77
com.antony.muzei.pixiv_327.apk,5
com.apps.adrcotfas.goodtime_348.apk,7
com.arslan.shizuwall_40.apk,362
com.beemdevelopment.aegis_81.apk,240
com.blacksquircle.ui_10028.apk,262
com.celzero.bravedns_619.apk,75
com.cointrend_10304.apk,1
com.craxiom.networksurvey_114.apk,53
com.daniebeler.pfpixelix_40.apk,17
com.darkrockstudios.app.securecamera_31.apk,58
com.darkrockstudios.apps.fasttrack_40.apk,61
com.defname.localshare_14.apk,40
com.dessalines.habitmaker_5501.apk,15
com.dessalines.rankmyfavs_44.apk,14
com.dessalines.thumbkey_179.apk,15
com.ds.avare_404.apk,113
com.etesync.syncadapter_20700.apk,42
com.faltenreich.diaguard_68.apk,6
com.flauschcode.broccoli_1040400.apk,1
com.floflacards.app_14.apk,10
com.flxrs.dankchat_40038.apk,15
com.fredhappyface.ewesticker_20250217.apk,10
com.gasperpintar.smokingtracker_12.apk,28
com.gaurav.avnc_51.apk,145
com.gelakinetic.mtgfam_99.apk,1
com.github.cvzi.screenshottile_148.apk,2
com.github.gotify_35.apk,16
com.github.livingwithhippos.unchained_60.apk,9
com.hegocre.nextcloudpasswords_38.apk,94
com.hwloc.lstopo_80283.apk,0
com.ivanovsky.passnotes_11700.apk,62
com.iyps_158.apk,8
com.jerboa_87.apk,25
com.js.nowakelock_87.apk,5
com.kin.easynotes_14.apk,16
com.kolktech.linxshare_22.apk,7
com.kwasow.musekit_1721768604.apk,6
com.kylecorry.trail_sense_145.apk,7
com.leekleak.trafficlight_38.apk,117
com.luk.saucenao_27.apk,10
com.manimarank.spell4wiki_21.apk,9
com.matedroid_178120864.apk,1
com.mateusrodcosta.apps.share2storage_34.apk,6
com.mateusrodcosta.apps.vidyamusic_2200.apk,33
com.mensinator.app_24.apk,1
com.micoyc.speakthat_58.apk,10
com.nononsenseapps.feeder.play_4025.apk,17
com.ominous.quickweather_112.apk,13
com.owncloud.android_48000100.apk,34
com.password.monitor_102.apk,12
com.quantum_prof.phantalandwaittimes_5.apk,10
com.rastislavkish.vscan_24.apk,22
com.rtbishop.look4sat_410.apk,7
com.sakethh.linkora_50.apk,29
com.sapuseven.untis_29198884.apk,35
com.schwegelbin.openbible_46.apk,5
com.serwylo.beatgame_35.apk,18
com.serwylo.retrowars_70.apk,46
com.shatteredpixel.shatteredpixeldungeon_896.apk,1
com.smartpack.packagemanager_79.apk,5
com.sshborg_18.apk,237
