apk,n_ident,n_records,states,exec_time_min/max,error_messages,cov_method_min/max,cov_method_mean,cov_act_min/max,cov_mop_min/max,mop_unique_min/max,cov_sig_distinct_min/max,viol_lines_min/max,viol_lines_sum,trace_steps_min/max,ev_crash_sum,ev_anr_sum,ev_verify_sum,ev_proc_own/all,ev_first_crash_s_min/max,ident_with_crash,C1_fail,C2_fail,C3_fail,C4_fail,C5_fail,ident_inadmissiveis,fails_all,arms_dead,sa_methods_reach_mop,sa_activities,sa_activities_reach_mop,sa_complete,flags
com.daniebeler.pfpixelix_40.apk,9,9,COMPLETEDx9,361/369,,8.9/10.3,9.6,100.0/100.0,6.0/7.9,7/7,4447/5538,7/14,91,175/206,0,0,0,0/0,,0,0,0,0,0,0,0,,,5783,3,1,True,
com.darkrockstudios.app.securecamera_31.apk,9,9,COMPLETEDx9,358/363,,10.4/10.8,10.7,100.0/100.0,9.3/9.8,0/0,913/933,0/0,0,249/336,0,0,0,0/0,,0,0,0,0,0,0,0,,,2027,3,2,,
com.darkrockstudios.apps.fasttrack_40.apk,9,9,COMPLETEDx9,361/368,,40.2/51.4,46.2,75.0/100.0,36.9/49.8,0/0,2340/3061,0/0,0,153/259,0,0,0,0/0,,0,0,0,0,0,0,0,,,1262,8,5,True,
com.defname.localshare_14.apk,9,9,COMPLETEDx9,358/365,,39.2/41.9,40.4,100.0/100.0,43.5/46.5,0/0,4367/4483,0/0,0,327/484,0,0,0,0/0,,0,0,0,0,0,0,0,,,1537,3,2,,
com.dessalines.habitmaker_5501.apk,9,9,COMPLETEDx9,360/367,,49.3/62.1,54.3,100.0/100.0,49.9/64.2,0/0,2385/3201,0/0,0,279/412,0,0,0,0/0,,0,0,0,0,0,0,0,,,1060,2,2,True,
com.dessalines.rankmyfavs_44.apk,9,9,COMPLETEDx9,355/370,,29.8/68.7,48.7,100.0/100.0,25.0/68.6,0/0,1835/3225,0/0,0,280/374,0,0,0,0/0,,0,0,0,0,0,0,0,,,1128,2,2,True,
com.dessalines.thumbkey_179.apk,9,10,COMPLETEDx9,361/368,,44.8/47.6,46.7,100.0/100.0,39.3/42.7,0/0,3292/3487,0/0,0,279/413,0,0,0,0/0,,0,0,0,0,0,0,0,,,1680,2,2,True,
com.ds.avare_404.apk,9,11,COMPLETEDx9,349/365,,17.6/26.9,21.3,22.2/44.4,5.1/56.4,8/11,698/1089,8/48,179,167/285,6,0,0,6/6,119/296,3,0,0,0,0,0,0,,,39,45,21,,
com.etesync.syncadapter_20700.apk,9,9,COMPLETEDx9,359/365,,4.9/10.6,7.5,22.7/40.9,0.7/5.7,0/26,350/2266,0/76,232,195/259,11,0,0,11/11,89/110,3,0,0,0,0,0,0,,,296,24,0,True,
com.faltenreich.diaguard_68.apk,9,9,COMPLETEDx9,356/366,,38.4/48.4,44.0,100.0/100.0,41.7/70.0,7/7,3358/4100,7/28,161,243/318,0,0,0,0/0,,0,0,0,0,0,0,0,,,60,3,0,True,
com.flauschcode.broccoli_1040400.apk,9,9,COMPLETEDx9,357/367,,32.1/52.5,40.7,75.0/100.0,14.5/61.8,0/0,1504/2785,0/0,0,204/283,1,0,0,1/1,163/163,1,0,0,0,0,0,0,,,55,7,0,True,
com.floflacards.app_14.apk,9,9,COMPLETEDx9,356/364,,8.5/31.9,14.5,50.0/100.0,4.8/31.3,0/0,592/2045,0/0,0,337/827,0,0,0,0/0,,0,0,0,0,0,0,0,,,2067,4,3,True,
com.flxrs.dankchat_40038.apk,9,9,COMPLETEDx9,356/369,,21.9/24.5,23.0,50.0/100.0,23.4/27.3,16/16,11903/12745,114/639,2449,153/248,0,2,0,2/2,,0,0,0,0,0,0,0,,,9049,4,3,,
com.fredhappyface.ewesticker_20250217.apk,9,9,COMPLETEDx9,357/366,,19.0/20.7,20.1,100.0/100.0,7.8/7.8,0/0,469/606,0/0,0,254/365,0,0,0,0/0,,0,0,0,0,0,0,0,,,64,1,0,True,
com.gasperpintar.smokingtracker_12.apk,9,9,COMPLETEDx9,361/370,,58.8/62.3,60.6,100.0/100.0,60.0/65.1,0/0,1051/1114,0/0,0,310/358,0,0,0,0/0,,0,0,0,0,0,0,0,,,415,4,1,True,
com.gaurav.avnc_51.apk,9,9,COMPLETEDx9,361/370,,26.1/40.3,34.6,50.0/100.0,32.8/51.1,0/0,2241/4208,0/0,0,181/386,3,0,0,3/3,69/91,2,0,0,0,0,0,0,,,622,8,5,True,
com.gelakinetic.mtgfam_99.apk,9,9,COMPLETEDx9,359/371,,24.5/38.7,32.5,50.0/100.0,36.7/56.7,0/3,2689/4169,0/3,12,274/353,0,1,0,1/1,,0,0,0,0,0,0,0,,,60,2,1,True,
com.github.cvzi.screenshottile_148.apk,9,9,COMPLETEDx9,358/369,,16.7/27.3,22.1,20.0/36.0,0.0/100.0,0/0,528/864,0/0,0,190/327,2,2,0,4/4,139/139,1,0,0,0,0,0,0,,,2,27,1,True,
com.github.gotify_35.apk,9,9,COMPLETEDx9,358/369,,11.7/26.0,16.4,42.9/85.7,9.9/26.5,0/9,509/2385,0/18,72,182/271,7,1,0,8/8,206/277,2,0,0,0,0,0,0,,,223,7,5,,
com.github.livingwithhippos.unchained_60.apk,9,9,COMPLETEDx9,355/367,,11.6/13.5,12.4,100.0/100.0,12.5/14.6,7/7,3500/3700,14/21,147,285/400,0,0,0,0/0,,0,0,0,0,0,0,0,,,1826,3,2,,
com.google.android.stardroid_1678.apk,9,23,"COMPLETEDx3,ERRORx6",64/363,TaskExecutionError: Component ToolExecutionComponent execution failed (Task ID: ,0.0/0.0,0.0,0.0/0.0,0.0/0.0,0/0,61/61,0/0,0,6/104,0,0,0,0/0,,0,6,6,0,0,9,9,C5,"ape,aperv:mop_off_llm_off,aperv:mop_on_llm_off",442,8,7,,"FALHA_TODAS:C5;BRACO_SEM_REP_ADMISSIVEL:ape,aperv:mop_off_llm_off,aperv:mop_on_llm_off;cov_method=0_todas;cov_method<1_todas;cov_act=0_todas;COMPLETED_com_0_chamadas;JA_EXCLUIDO_manifest"
com.hegocre.nextcloudpasswords_38.apk,9,9,COMPLETEDx9,356/370,,5.7/19.4,9.8,60.0/100.0,4.0/19.4,18/18,372/2177,36/87,519,210/373,0,0,0,0/0,,0,0,0,0,0,0,0,,,1894,7,6,,
com.hwloc.lstopo_80283.apk,9,10,COMPLETEDx9,357/366,,39.0/46.7,42.1,50.0/75.0,0.0/16.7,0/5,99/177,0/5,15,129/223,4,2,0,4/6,108/185,3,0,0,0,0,0,0,,,6,4,1,True,
com.ivanovsky.passnotes_11700.apk,9,9,COMPLETEDx9,361/373,,17.8/24.3,20.8,100.0/100.0,16.3/23.5,0/10,2715/4758,0/10,28,225/361,9,0,0,9/9,103/296,5,0,0,0,0,0,0,,,3311,3,1,True,
com.iyps_158.apk,9,9,COMPLETEDx9,359/364,,63.9/76.5,68.0,66.7/100.0,61.8/78.2,0/0,1267/1497,0/0,0,231/346,0,0,0,0/0,,0,0,0,0,0,0,0,,,280,3,3,True,
com.jerboa_87.apk,9,10,COMPLETEDx9,358/368,,23.0/30.2,26.1,100.0/100.0,18.6/27.0,7/7,10809/12083,14/21,140,254/335,0,0,0,0/0,,0,0,0,0,0,0,0,,,6886,3,2,,
com.js.nowakelock_87.apk,9,9,COMPLETEDx9,356/367,,32.9/34.8,33.8,100.0/100.0,32.7/35.7,0/0,2557/2684,0/0,0,273/427,0,0,0,0/0,,0,0,0,0,0,0,0,,,2296,3,2,,
com.kin.easynotes_14.apk,9,9,COMPLETEDx9,361/365,,46.4/54.4,50.2,50.0/50.0,47.7/55.9,0/5,2019/2801,0/6,6,262/370,5,0,0,5/5,37/272,5,0,0,0,0,0,0,,,1758,4,2,True,
com.kolktech.linxshare_22.apk,9,9,COMPLETEDx9,359/367,,46.2/48.6,48.3,50.0/50.0,0.0/0.0,0/0,355/370,0/0,0,303/520,0,0,0,0/0,,0,0,0,0,0,0,0,,,2,4,0,True,
com.kwasow.musekit_1721768604.apk,9,9,COMPLETEDx9,359/365,,61.3/72.4,66.6,100.0/100.0,59.3/71.6,0/0,2007/2291,0/0,0,302/465,5,0,0,5/5,125/152,3,0,0,0,0,0,0,,,1005,3,2,True,
com.kylecorry.trail_sense_145.apk,9,9,COMPLETEDx9,356/368,,7.1/29.3,22.8,50.0/50.0,0.0/0.0,0/0,3595/13418,0/0,0,204/693,1,0,0,1/1,278/278,1,0,0,0,0,0,0,,,1,6,0,,
com.leekleak.trafficlight_38.apk,9,9,COMPLETEDx9,360/368,,14.0/17.1,15.4,50.0/100.0,8.8/11.8,2/3,1241/1400,2/13,68,188/883,3,0,0,3/3,33/75,3,0,0,0,0,0,0,,,2401,7,4,,
com.luk.saucenao_27.apk,9,10,COMPLETEDx9,356/368,,39.7/45.2,42.8,50.0/100.0,40.9/46.2,0/0,507/1046,0/0,0,310/494,22,0,0,22/22,55/65,3,0,0,0,0,0,0,,,364,3,3,True,
com.manimarank.spell4wiki_21.apk,9,9,COMPLETEDx9,364/373,,19.3/31.2,28.1,43.8/68.8,40.4/61.7,7/7,3969/4587,7/21,126,150/301,6,0,0,6/6,133/181,3,0,0,0,0,0,0,,,47,16,6,True,
com.matedroid_178120864.apk,9,9,COMPLETEDx9,360/371,,8.2/10.8,10.2,50.0/100.0,6.6/9.6,7/7,1907/2372,14/105,490,218/304,57,0,0,57/57,19/198,8,0,0,0,0,0,0,,,5697,6,3,True,
com.mateusrodcosta.apps.share2storage_34.apk,9,10,COMPLETEDx9,354/388,,54.9/62.1,57.6,50.0/100.0,48.5/57.9,0/0,1315/1407,0/0,0,361/630,0,0,0,0/0,,0,0,0,0,0,0,0,,,423,4,3,True,
com.mateusrodcosta.apps.vidyamusic_2200.apk,9,9,COMPLETEDx9,358/364,,66.4/74.7,69.2,100.0/100.0,65.1/77.0,22/22,4031/4286,28/84,504,236/383,0,0,0,0/0,,0,0,0,0,0,0,0,,,482,3,2,True,
com.mensinator.app_24.apk,9,9,COMPLETEDx9,359/365,,53.1/62.9,58.6,100.0/100.0,52.8/63.8,0/0,1808/2078,0/0,0,298/403,0,0,0,0/0,,0,0,0,0,0,0,0,,,1095,5,2,True,
com.micoyc.speakthat_58.apk,9,9,COMPLETEDx9,358/366,,17.6/23.9,20.2,44.4/59.3,13.6/19.8,0/7,1628/2336,0/7,7,219/275,0,0,0,0/0,,0,0,0,0,0,0,0,,,2520,31,26,,
com.nononsenseapps.feeder.play_4025.apk,9,9,COMPLETEDx9,364/372,,30.1/39.1,33.5,16.7/33.3,31.0/41.4,9/15,9600/11554,9/29,145,205/290,0,0,0,0/0,,0,0,0,0,0,0,0,,,6211,10,7,True,
com.ominous.quickweather_112.apk,9,9,COMPLETEDx9,361/366,,13.1/54.0,22.8,66.7/100.0,14.3/57.1,0/7,389/3541,0/14,28,278/422,0,0,0,0/0,,0,0,0,0,0,0,0,,,7,3,0,True,
com.owncloud.android_48000100.apk,9,9,COMPLETEDx9,362/370,,10.2/12.2,11.2,50.0/62.5,8.9/12.1,0/7,2017/3471,0/14,77,208/308,10,1,0,10/11,84/95,3,0,0,0,0,0,0,,,2641,28,13,,
com.password.monitor_102.apk,9,9,COMPLETEDx9,357/371,,48.3/67.9,62.0,33.3/100.0,55.5/71.4,10/10,3241/3504,20/70,300,282/356,14,0,0,14/14,26/180,4,0,0,0,0,0,0,,,182,3,3,True,
com.quantum_prof.phantalandwaittimes_5.apk,9,9,COMPLETEDx9,356/365,,61.2/62.0,61.7,100.0/100.0,75.0/75.0,7/7,2111/2150,14/28,182,240/473,0,0,0,0/0,,0,0,0,0,0,0,0,,,8,3,0,True,
com.rastislavkish.vscan_24.apk,9,9,COMPLETEDx9,359/365,,23.2/49.6,30.7,14.3/92.9,20.3/50.1,0/0,551/1082,0/0,0,241/357,6,0,0,6/6,60/278,5,0,0,0,0,0,0,,,463,14,14,True,
com.rtbishop.look4sat_410.apk,9,11,COMPLETEDx9,358/371,,44.0/53.3,49.1,100.0/100.0,100.0/100.0,7/7,4155/4846,7/14,113,250/349,0,1,0,1/1,,0,0,0,0,0,0,0,,,4,3,0,True,
com.sakethh.linkora_50.apk,9,9,COMPLETEDx9,357/369,,20.1/28.6,23.3,50.0/100.0,18.1/28.2,7/29,8634/10306,7/42,105,221/347,0,0,0,0/0,,0,0,0,0,0,0,0,,,7931,3,3,True,
com.sapuseven.untis_29198884.apk,9,9,COMPLETEDx9,360/374,,8.9/32.7,23.2,25.0/50.0,7.6/37.6,25/29,7178/11753,31/130,541,188/301,2,0,0,2/2,148/180,2,0,0,0,0,0,0,,,4731,7,5,True,
com.schwegelbin.openbible_46.apk,9,9,COMPLETEDx9,360/374,,47.4/69.9,58.9,100.0/100.0,36.2/64.4,0/5,565/833,0/36,173,62/352,0,37,0,37/37,,0,0,0,0,0,0,0,,,492,3,2,True,
com.serwylo.beatgame_35.apk,9,9,COMPLETEDx9,357/371,,3.1/3.2,3.2,100.0/100.0,5.2/5.5,0/0,1347/1616,0/0,0,99/193,0,1,0,0/1,,0,0,0,0,0,0,0,,,271,1,0,True,
com.serwylo.retrowars_70.apk,9,10,COMPLETEDx9,357/369,,5.0/12.8,5.8,100.0/100.0,3.8/11.1,0/0,1671/2319,0/0,0,89/185,0,1,0,0/1,,0,0,0,0,0,0,0,,,628,1,0,True,
com.shatteredpixel.shatteredpixeldungeon_896.apk,9,9,COMPLETEDx9,360/370,,0.2/2.3,1.3,0.0/50.0,0.0/1.5,0/0,327/1436,0/0,0,80/186,0,2,0,0/2,,0,0,0,0,0,1,1,,,1880,2,0,True,
com.smartpack.packagemanager_79.apk,9,9,COMPLETEDx9,358/365,,27.1/46.5,39.1,54.5/100.0,31.6/56.6,3/3,934/1263,6/9,63,275/380,4,0,0,4/4,93/219,4,0,0,0,0,0,0,,,76,13,5,True,
com.sshborg_18.apk,9,9,COMPLETEDx9,360/372,,26.7/34.3,30.4,100.0/100.0,26.6/36.4,0/2,1942/2478,0/2,2,255/324,1,0,0,1/1,260/260,1,0,0,0,0,0,0,,,2099,2,2,True,
com.starry.greenstash_440.apk,9,9,COMPLETEDx9,362/376,,11.4/37.4,26.9,50.0/100.0,4.9/35.5,0/0,1568/4177,0/0,0,107/289,0,0,0,0/0,,0,0,0,0,0,0,0,,,2162,5,3,True,
com.starry.myne_500.apk,9,9,COMPLETEDx9,342/369,,11.6/61.0,40.6,50.0/100.0,5.7/66.2,7/12,1998/7682,7/58,331,108/435,0,0,0,0/0,,0,0,0,0,0,0,0,,,1483,5,3,True,
com.surfaceocean.nexttraceroute_16.apk,9,9,COMPLETEDx9,360/366,,47.7/62.8,56.0,100.0/100.0,42.4/60.9,0/0,595/1336,0/0,0,254/364,0,0,0,0/0,,0,0,0,0,0,0,0,,,545,1,1,True,
com.tananaev.passportreader_22.apk,9,9,COMPLETEDx9,359/365,,51.9/64.9,57.0,50.0/100.0,66.7/72.2,37/38,1977/2007,117/271,1834,285/516,0,2,0,2/2,,0,0,0,0,0,0,0,,,18,7,5,True,
com.tk.quicksearch_65.apk,9,9,COMPLETEDx9,361/370,,9.9/26.1,19.6,16.7/83.3,5.4/21.7,16/16,3521/9341,17/34,204,115/264,0,1,0,0/1,,0,0,0,0,0,0,0,,,11661,10,6,True,
com.trianguloy.urlchecker_47.apk,9,9,COMPLETEDx9,357/364,,31.9/57.5,45.4,70.0/100.0,22.2/38.9,0/0,521/939,0/0,0,195/316,4,0,0,4/4,132/216,2,0,0,0,0,0,0,,,18,10,0,True,
com.vermont.possin_8.apk,9,9,COMPLETEDx9,357/370,,16.6/28.1,21.5,40.0/66.7,15.3/28.6,0/12,578/2228,0/28,115,172/264,18,0,0,18/18,108/217,6,0,0,0,0,0,0,,,430,16,8,,
com.vishaltelangre.nerdcalci_490.apk,9,9,COMPLETEDx9,356/387,,38.8/50.6,45.3,100.0/100.0,34.4/48.1,0/0,2553/4031,0/0,0,216/308,0,0,0,0/0,,0,0,0,0,0,0,0,,,2828,3,2,True,
com.vrem.wifianalyzer_71.apk,9,9,COMPLETEDx9,358/369,,67.0/69.2,68.2,100.0/100.0,100.0/100.0,10/10,2379/2482,16/35,226,271/372,0,0,0,0/0,,0,0,0,0,0,0,0,,,12,1,0,True,
com.yogeshpaliyal.deepr_28.apk,9,9,COMPLETEDx9,360/369,,33.4/43.9,40.4,50.0/100.0,35.8/49.8,0/0,3694/7607,0/0,0,226/306,2,0,0,2/2,126/126,1,0,0,0,0,0,0,,,2762,7,4,,
de.luhmer.owncloudnewsreader_196.apk,9,9,COMPLETEDx9,360/371,,18.7/27.7,23.3,28.6/57.1,31.2/45.2,4/10,1575/3567,8/50,244,206/268,7,0,0,7/7,157/252,4,0,0,0,0,0,0,,,93,7,3,,
de.lukasneugebauer.nextcloudcookbook_62.apk,9,9,COMPLETEDx9,359/371,,14.0/14.2,14.0,100.0/100.0,12.9/12.9,10/10,3315/4926,13/62,302,233/375,1,0,0,1/1,115/115,1,0,0,0,0,0,0,,,1800,6,3,True,
de.markusfisch.android.binaryeye_174.apk,9,9,COMPLETEDx9,357/368,,27.0/38.6,32.2,46.2/92.3,15.8/30.3,0/0,1836/3538,0/0,0,240/312,0,0,0,0/0,,0,0,0,0,0,0,0,,,462,15,9,,
de.markusfisch.android.shadereditor_93.apk,9,9,COMPLETEDx9,356/366,,41.7/50.8,46.3,33.3/77.8,18.2/46.6,0/0,1714/3384,0/0,0,46/188,1,2,0,1/3,231/231,1,0,0,0,0,0,0,,,88,11,5,True,
de.stephanlindauer.criticalmaps_104.apk,9,9,COMPLETEDx9,362/367,,68.9/70.4,69.6,100.0/100.0,84.1/87.0,12/12,4556/5921,24/36,228,270/329,0,0,0,0/0,,0,0,0,0,0,0,0,,,69,3,2,True,
dev.anilbeesetti.nextplayer_42.apk,9,9,COMPLETEDx9,362/370,,29.5/45.5,38.3,33.3/100.0,26.2/46.4,0/0,3259/5224,0/0,0,325/410,0,1,0,1/1,,0,0,0,0,0,0,0,,,3034,5,4,,
dev.dettmer.simplenotes_41.apk,9,9,COMPLETEDx9,362/372,,21.1/34.4,28.3,40.0/100.0,20.3/33.6,16/31,2256/4830,17/64,405,265/351,0,0,0,0/0,,0,0,0,0,0,0,0,,,4970,8,6,,
dev.itsvic.parceltracker_10501000.apk,9,9,COMPLETEDx9,361/374,,24.6/30.0,27.8,50.0/100.0,43.2/53.4,7/7,1637/3031,14/35,189,216/442,4,0,0,4/4,72/163,3,0,0,0,0,0,0,,,948,4,3,True,
dev.leonlatsch.photok_62.apk,9,9,COMPLETEDx9,362/368,,8.0/30.6,19.0,33.3/100.0,4.7/31.1,0/8,981/3133,0/24,111,52/317,0,0,0,0/0,,0,0,0,0,0,0,0,,,2748,4,1,True,
dev.patri9ck.a2ln_25.apk,9,9,COMPLETEDx9,360/386,,47.0/49.8,48.7,100.0/100.0,42.9/42.9,0/0,553/569,0/0,0,267/329,0,0,0,0/0,,0,0,0,0,0,0,0,,,7,2,1,True,
dev.sebaubuntu.athena_17.apk,9,9,COMPLETEDx9,357/372,,45.3/50.2,47.4,100.0/100.0,100.0/100.0,7/7,1627/2763,14/35,203,373/641,0,0,0,0/0,,0,0,0,0,0,0,0,,,2,2,0,True,
dev.spiegl.flyingcarpet_21.apk,9,9,COMPLETEDx9,357/363,,36.1/36.6,36.5,100.0/100.0,19.1/19.1,0/0,139/141,0/0,0,455/622,6,0,0,6/6,100/242,4,0,0,0,0,0,0,,,47,2,1,True,
dev.ukanth.ufirewall_20260301.apk,9,9,COMPLETEDx9,360/368,,23.5/29.2,25.6,18.8/31.2,0.0/0.0,0/0,1256/1612,0/0,0,234/335,0,0,0,0/0,,0,0,0,0,0,0,0,,,27,17,0,True,
eu.darken.myperm_20101000.apk,9,9,COMPLETEDx9,357/371,,35.1/46.7,41.7,33.3/100.0,44.1/58.5,0/0,6798/8776,0/0,0,315/396,0,0,0,0/0,,0,0,0,0,0,0,0,,,5038,8,3,True,
eu.darken.sdmse_10705000.apk,9,9,COMPLETEDx9,364/383,,6.1/19.2,16.4,33.3/100.0,3.8/18.8,7/12,5069/14100,21/47,228,244/556,0,0,0,0/0,,0,0,0,0,0,0,0,,,25136,8,4,,
eu.faircode.email_2322.apk,9,9,COMPLETEDx9,362/376,,13.7/17.5,15.2,15.0/40.0,10.0/12.4,5/5,6569/9133,9/33,174,174/212,0,1,0,1/1,,0,0,0,0,0,0,0,,,5690,25,23,,
eu.opencloud.android_9.apk,9,9,COMPLETEDx9,356/365,,11.6/13.2,12.6,52.2/65.2,9.5/11.3,7/8,2755/3276,7/22,129,249/329,5,1,0,5/6,175/192,3,0,0,0,0,0,0,,,2963,27,13,,
fr.corenting.traficparis_34.apk,9,9,COMPLETEDx9,357/366,,81.7/83.0,82.6,100.0/100.0,78.3/80.9,7/7,3201/3229,14/42,238,261/610,0,0,0,0/0,,0,0,0,0,0,0,0,,,157,3,2,True,
github.paroj.dsub2000_217.apk,9,9,COMPLETEDx9,359/367,,36.4/40.1,38.0,33.3/83.3,39.2/46.5,6/6,2309/2555,18/42,274,156/280,3,1,0,4/4,44/47,2,0,0,0,0,0,0,,,679,6,4,True,
io.github.garemat.lunachron_23201.apk,9,10,COMPLETEDx9,360/369,,13.4/19.8,16.4,100.0/100.0,11.1/17.7,0/7,3134/7250,0/14,56,290/448,0,0,0,0/0,,0,0,0,0,0,0,0,,,7969,3,2,True,
