apk,n_ident,n_records,states,exec_time_min/max,error_messages,cov_method_min/max,cov_method_mean,cov_act_min/max,cov_mop_min/max,mop_unique_min/max,cov_sig_distinct_min/max,viol_lines_min/max,viol_lines_sum,trace_steps_min/max,ev_crash_sum,ev_anr_sum,ev_verify_sum,ev_proc_own/all,ev_first_crash_s_min/max,ident_with_crash,C1_fail,C2_fail,C3_fail,C4_fail,C5_fail,ident_inadmissiveis,fails_all,arms_dead,sa_methods_reach_mop,sa_activities,sa_activities_reach_mop,sa_complete,flags
app.eduroam.geteduroam_2685.apk,9,9,COMPLETEDx9,356/365,,21.0/23.7,21.9,50.0/100.0,16.5/20.1,7/7,2202/2276,14/35,182,163/261,0,0,0,0/0,,0,0,0,0,0,0,0,,,1102,6,4,True,
app.maskan.chat_90.apk,9,9,COMPLETEDx9,358/364,,40.0/49.6,44.1,100.0/100.0,40.9/54.9,34/34,2174/3482,35/120,794,240/286,0,0,0,0/0,,0,0,0,0,0,0,0,,,1508,2,2,True,
app.michaelwuensch.bitbanana_79.apk,9,9,COMPLETEDx9,361/369,,6.5/10.6,9.4,15.3/33.9,5.7/9.7,26/38,2470/4500,37/118,577,100/310,5,0,0,5/5,114/196,3,0,0,0,0,0,0,,,2164,60,43,True,
app.pachli_50.apk,9,9,COMPLETEDx9,364/374,,2.6/4.3,3.2,7.4/22.2,2.1/3.8,11/16,3112/6595,16/56,257,230/283,0,0,0,0/0,,0,0,0,0,0,0,0,,,9232,35,31,,
app.plugbrain.android_154.apk,9,9,COMPLETEDx9,358/366,,42.8/44.5,43.4,75.0/75.0,96.9/96.9,0/0,1868/1919,0/0,0,151/230,0,0,0,0/0,,0,0,0,0,0,0,0,,,130,6,0,True,
app.pwhs.universalinstaller_24.apk,9,9,COMPLETEDx9,360/367,,26.9/37.0,30.1,52.6/84.2,24.2/34.6,0/0,5090/7283,0/0,0,150/305,8,1,0,8/9,64/255,4,0,0,0,0,0,0,,,6000,26,8,,
at.techbee.jtx_216000015.apk,9,9,COMPLETEDx9,363/380,,14.1/19.8,17.8,33.3/100.0,11.3/17.0,0/7,4013/8393,0/7,7,109/219,8,5,0,13/13,103/156,3,0,0,0,0,0,0,,,10302,10,6,,
be.digitalia.fosdem_2300230.apk,9,9,COMPLETEDx9,359/371,,30.6/34.8,32.9,22.2/77.8,36.4/41.0,7/7,2879/3128,7/35,182,191/298,9,0,0,9/9,79/87,3,0,0,0,0,0,0,,,840,9,7,,
br.com.colman.petals_3040000.apk,9,9,COMPLETEDx9,359/364,,26.9/60.0,44.2,100.0/100.0,25.1/60.2,0/0,1418/3716,0/0,0,237/348,0,0,0,0/0,,0,0,0,0,0,0,0,,,1604,4,2,True,
cc.sovellus.vrcaa_300007.apk,9,9,COMPLETEDx9,359/367,,2.0/2.4,2.1,40.0/60.0,2.2/3.0,7/7,3012/4650,7/21,119,250/303,0,1,0,1/1,,0,0,0,0,0,0,0,,,4380,11,6,,
ch.joshuah.bibleverseapp_8.apk,9,10,COMPLETEDx9,355/367,,60.1/61.5,61.2,100.0/100.0,68.2/70.5,7/7,1502/1557,14/28,154,238/402,3,0,0,3/3,8/223,2,0,0,0,0,0,0,,,44,1,0,True,
ch.rmy.android.http_shortcuts_1104060001.apk,9,9,COMPLETEDx9,322/370,,7.6/21.5,15.8,10.0/50.0,7.4/23.6,0/22,2773/9717,0/42,190,180/266,0,0,0,0/0,,0,0,0,0,0,0,0,,,7163,14,7,,
co.epitre.aelf_lectures_86.apk,9,9,COMPLETEDx9,357/366,,49.9/75.2,66.3,66.7/100.0,59.7/88.7,12/12,1864/2122,24/84,552,224/342,0,0,0,0/0,,0,0,0,0,0,0,0,,,62,3,2,True,
com.a4a.g8invoicing_50.apk,9,9,COMPLETEDx9,357/371,,18.0/43.2,34.2,100.0/100.0,15.9/39.9,0/0,3388/8191,0/0,0,278/471,0,0,0,0/0,,0,0,0,0,0,0,0,,,4320,3,2,True,
com.absinthe.libchecker_2671.apk,9,9,COMPLETEDx9,360/371,,12.4/35.6,29.3,9.1/63.6,12.6/36.7,12/17,6857/10262,12/46,246,135/271,0,2,0,2/2,,0,0,0,0,0,0,0,,,3132,15,13,,
com.afkanerd.deku_83.apk,9,9,COMPLETEDx9,356/368,,13.0/41.6,26.4,50.0/100.0,5.2/36.5,18/24,1507/2133,38/88,527,305/571,4,0,0,4/4,92/140,3,0,0,0,0,0,0,,,1089,7,2,True,
com.antony.muzei.pixiv_327.apk,9,9,COMPLETEDx9,354/366,,40.5/42.3,41.3,100.0/100.0,39.3/49.2,7/7,3128/3567,7/14,119,305/357,1,0,0,1/1,128/128,1,0,0,0,0,0,0,,,61,2,2,True,
com.apps.adrcotfas.goodtime_348.apk,9,9,COMPLETEDx9,362/366,,28.2/50.0,45.2,100.0/100.0,26.3/50.4,0/0,7007/10090,0/0,0,45/357,1,0,0,1/1,231/231,1,0,0,0,0,0,0,,,4119,4,3,True,
com.arslan.shizuwall_40.apk,9,10,COMPLETEDx9,358/372,,4.2/32.3,23.8,42.9/100.0,1.7/18.3,0/0,110/798,0/0,0,257/363,0,1,0,0/1,,0,0,0,0,0,0,0,,,721,7,7,,
com.beemdevelopment.aegis_81.apk,9,9,COMPLETEDx9,359/368,,8.6/24.6,18.6,14.3/71.4,4.5/21.5,0/5,1060/2875,0/14,26,221/607,10,0,0,10/10,157/188,3,0,0,0,0,0,0,,,1062,15,9,,
com.blacksquircle.ui_10028.apk,9,9,COMPLETEDx9,361/368,,24.3/33.4,30.0,100.0/100.0,20.5/29.5,0/0,4412/5907,0/0,0,298/424,0,0,0,0/0,,0,0,0,0,0,0,0,,,5315,5,3,,
com.celzero.bravedns_619.apk,9,9,COMPLETEDx9,360/370,,10.9/17.1,13.7,14.3/35.7,9.0/15.9,2/9,4903/7811,2/16,53,212/346,0,0,0,0/0,,0,0,0,0,0,0,0,,,11515,43,40,,
com.cointrend_10304.apk,9,9,COMPLETEDx9,359/372,,49.8/57.6,55.7,100.0/100.0,56.3/67.3,12/12,5670/6076,24/48,308,230/386,0,6,0,6/6,,0,0,0,0,0,0,0,,,1101,3,2,True,
com.craxiom.networksurvey_114.apk,9,10,COMPLETEDx9,359/370,,27.1/33.8,30.1,100.0/100.0,24.3/32.3,7/14,8203/11856,10/28,142,213/277,0,0,0,0/0,,0,0,0,0,0,0,0,,,5695,4,3,True,
