model,strategy,prompt_id,temperature,top_p,max_tokens,top_k,run_number_mean,run_number_median,run_number_min,run_number_max,run_number_std_dev,total_duration_ms_mean,total_duration_ms_median,total_duration_ms_min,total_duration_ms_max,total_duration_ms_std_dev,load_duration_ms_mean,load_duration_ms_median,load_duration_ms_min,load_duration_ms_max,load_duration_ms_std_dev,input_tokens_mean,input_tokens_median,input_tokens_min,input_tokens_max,input_tokens_std_dev,input_tokens_duration_ms_mean,input_tokens_duration_ms_median,input_tokens_duration_ms_min,input_tokens_duration_ms_max,input_tokens_duration_ms_std_dev,output_tokens_mean,output_tokens_median,output_tokens_min,output_tokens_max,output_tokens_std_dev,output_tokens_duration_ms_mean,output_tokens_duration_ms_median,output_tokens_duration_ms_min,output_tokens_duration_ms_max,output_tokens_duration_ms_std_dev,tokens_per_second_mean,tokens_per_second_median,tokens_per_second_min,tokens_per_second_max,tokens_per_second_std_dev,input_output_ratio_mean,input_output_ratio_median,input_output_ratio_min,input_output_ratio_max,input_output_ratio_std_dev,generation_latency_ms_mean,generation_latency_ms_median,generation_latency_ms_min,generation_latency_ms_max,generation_latency_ms_std_dev,response_length_chars_mean,response_length_chars_median,response_length_chars_min,response_length_chars_max,response_length_chars_std_dev,actions_count_mean,actions_count_median,actions_count_min,actions_count_max,actions_count_std_dev,explanation_quality_score_mean,explanation_quality_score_median,explanation_quality_score_min,explanation_quality_score_max,explanation_quality_score_std_dev,parsing_success_rate,error_rate,timeout_rate,overall_success_rate,overall_score,total_runs
llama3.2:1b,standard_modular,001,0.2,0.9,500,0,5.5,5.5,1.0,10.0,3.0276503540974917,452.1503346,455.860661,426.611079,471.221657,16.000738056341714,35.66865,35.6395175,33.227749,37.281345,1.1257022110074713,298.0,298.0,298.0,298.0,0.0,5.3922806,4.303585,3.041965,13.070873,2.9035066662185574,49.9,51.0,47.0,51.0,1.7919573407620817,409.1206271,412.4376065,385.449598,425.689488,14.530349120925157,121.97913693685015,122.14934381141558,119.58744032755295,124.77057291028733,1.8457134857010482,0.1674496644295302,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.006013279666986855,414.51290769999997,417.562661,389.56645399999996,431.904226,15.764816496900648,177.6,181.0,168.0,181.0,5.641118880348315,1.0,1.0,1.0,1.0,0.0,0.9475,1.0,0.825,1.0,0.08453303101943842,1.0,0.0,0.0,1.0,98.27624556258084,10
llama3.2:1b,batch_action_modular,001,0.2,1.0,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,473.4497087,457.988111,450.218036,602.773748,45.764946538610054,36.1595806,35.7928085,34.991288,38.496447,1.0727395252878094,298.0,298.0,298.0,298.0,0.0,4.5646607,4.336349,3.368078,6.69181,0.9487484974038226,52.9,51.0,51.0,70.0,6.008327554319921,430.3705793,414.9396035,407.701667,561.878793,46.47397611630232,122.87453042184505,123.17044386052439,120.14817973952836,125.09146792377477,1.5785782049435264,0.17751677852348993,0.17114093959731544,0.17114093959731544,0.2348993288590604,0.020162173001073556,434.93524,419.1474735,412.33269,565.2468709999999,46.094821400720924,190.2,181.0,181.0,273.0,29.09295447354909,1.0,1.0,1.0,1.0,0.0,0.9475,1.0,0.475,1.0,0.16601957715883991,1.0,0.0,0.0,1.0,97.83723663373466,10
llama3.2:1b,standard_modular,001,0.2,1.0,500,0,5.5,5.5,1.0,10.0,3.0276503540974917,464.0493559,459.138443,447.828352,506.106966,16.546754814372527,34.4866002,35.518696500000004,23.866039,39.291457,4.257349753678085,298.0,298.0,298.0,298.0,0.0,4.4876238,4.1592345,3.380716,5.966194,0.8631331624848315,51.7,51.0,51.0,58.0,2.2135943621178655,423.1435097,416.4624165,410.806817,466.044987,16.397862009916807,122.18050034055398,122.58147901736115,117.67604866422386,124.45150493593874,2.009269572754333,0.17348993288590603,0.17114093959731544,0.17114093959731544,0.19463087248322147,0.00742816900039552,427.63113350000003,420.6802585,416.46472600000004,469.425703,15.928140806895849,184.7,181.0,181.0,218.0,11.700427342623003,1.0,1.0,1.0,1.0,0.0,0.93,1.0,0.3,1.0,0.22135943621178655,1.0,0.0,0.0,1.0,97.25003891057206,10
llama3.2:1b,standard_modular,001,0.2,0.9,500,40,5.5,5.5,1.0,10.0,3.0276503540974917,453.8769895,458.817896,423.124248,494.457165,20.18616708313721,36.2642356,36.049239,34.91925,37.776623,0.9047460675497364,298.0,298.0,298.0,298.0,0.0,4.9032151,4.2973479999999995,3.535492,9.140232,1.646981367253197,50.2,51.0,47.0,55.0,2.5298221281347035,410.6127214,415.93316300000004,377.603076,447.346371,19.560997231258977,122.24992415369921,122.40979860802292,118.73912139643977,124.46932503272299,1.4570213822923823,0.16845637583892617,0.17114093959731544,0.15771812080536912,0.18456375838926176,0.008489336000452031,415.5159365,419.967531,383.717543,456.486603,20.28976945650303,179.2,181.0,168.0,202.0,10.086294331087773,1.0,1.0,1.0,1.0,0.0,0.895,1.0,0.475,1.0,0.1690660620388768,1.0,0.0,0.0,1.0,97.00538901006963,10
llama3.2:1b,batch_action_modular,001,0.2,0.9,800,0,5.5,5.5,1.0,10.0,3.0276503540974917,460.217895,453.619573,425.940985,506.101015,24.06605310771653,33.3238618,35.384842,21.566597,37.222142,4.7160628659479364,298.0,298.0,298.0,298.0,0.0,3.8957184,3.968673,2.855687,4.981699,0.6844228251337359,51.8,51.0,47.0,58.0,3.0477678535099897,420.9727338,413.988161,382.786972,465.252604,23.467323315374056,123.04044682614769,123.36711391641981,118.84684361763892,124.66346131401771,1.6101210063472817,0.1738255033557047,0.17114093959731544,0.15771812080536912,0.19463087248322147,0.010227408904395939,424.8684522,417.956834,387.000263,468.108291,23.161127977294484,185.6,181.0,168.0,216.0,13.977760113043068,1.0,1.0,1.0,1.0,0.0,0.895,1.0,0.475,1.0,0.1881193474602995,1.0,0.0,0.0,1.0,96.88375491509586,10
llama3.2:1b,batch_action_modular,001,0.2,1.0,500,40,5.5,5.5,1.0,10.0,3.0276503540974917,459.2083745,451.629795,412.972439,609.868291,56.502532775506495,36.31989,36.155061,34.620511,39.116837,1.3201548178455758,298.0,298.0,298.0,298.0,0.0,4.4801681,4.16249,3.091123,6.647017,1.0283124117356823,51.1,51.0,46.0,70.0,7.01506315802724,416.3814342,410.28918450000003,371.54592,568.265848,56.69011224504644,122.72040094089354,123.13787311333172,120.36814526424277,124.37862663534878,1.372912067360453,0.1714765100671141,0.17114093959731544,0.15436241610738255,0.2348993288590604,0.023540480396064562,420.8616023,414.282999,374.637043,572.47423,56.730578447730494,185.2,181.0,164.0,283.0,35.187750393819975,1.0,1.0,1.0,1.0,0.0,0.8775,0.9125,0.475,1.0,0.16601957715883991,1.0,0.0,0.0,1.0,96.73972131445225,10
qwen3:0.6b,standard_modular,001,0.7,0.9,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,1529.4439849,1412.494272,1131.12222,2308.984304,379.5210593897535,32.8745356,32.7045365,32.079773,34.990062,0.8920321069233124,286.0,286.0,286.0,286.0,0.0,14.4795422,15.3158865,9.300399,18.194378,2.9537927995515187,295.8,274.0,216.0,444.0,73.91857381981579,1474.4944768999999,1359.897399,1077.386056,2250.199601,378.7128976166307,200.84059861532864,200.8328102730885,197.31582913919468,203.45853562392762,1.9362161138890255,1.0342657342657342,0.958041958041958,0.7552447552447552,1.5524475524475525,0.2584565518175377,1488.9740191,1373.5945849999998,1088.198589,2268.393979,379.3620678060387,1397.3,1298.5,970.0,2154.0,350.6476705881402,1.1,1.0,1.0,2.0,0.31622776601683794,0.895,0.825,0.825,1.0,0.09036961141150641,1.0,0.0,0.0,1.0,96.38296500980587,10
qwen3:0.6b,batch_action_modular,001,0.2,1.0,500,40,5.5,5.5,1.0,10.0,3.0276503540974917,1494.2503144,1358.1814570000001,1229.158865,2104.576609,306.34990337193284,29.695778,32.337108,18.694315,34.811007,5.248318110221576,286.0,286.0,286.0,286.0,0.0,13.7723661,14.561689999999999,8.676729,22.029945,3.7967149634981805,290.0,261.0,236.0,416.0,62.78711828251255,1443.4663786,1307.036258,1176.710815,2047.696106,305.84339024818684,200.7698926740625,200.65616672291486,199.29884624293797,203.15514532701854,1.3625585243261442,1.013986013986014,0.9125874125874126,0.8251748251748252,1.4545454545454546,0.21953537861018377,1457.2387447,1317.6137724999999,1198.74076,2062.277567,305.89346117640855,1419.5,1288.5,1136.0,1994.0,296.0605230917039,1.0,1.0,1.0,1.0,0.0,0.8775,0.825,0.825,1.0,0.08453303101943842,1.0,0.0,0.0,1.0,96.18965822491494,10
qwen3:0.6b,batch_action_modular,001,0.2,0.9,500,40,5.5,5.5,1.0,10.0,3.0276503540974917,1466.9677962,1330.617262,1159.974989,2128.109505,330.4755715873569,32.6075452,32.4028005,31.600025,34.225319,0.8066150801230755,286.0,286.0,286.0,286.0,0.0,14.9712846,15.2718115,8.615197,18.778568,2.5583830898964375,281.7,256.0,221.0,418.0,66.22361109654672,1411.9834322,1280.2210225,1105.181676,2074.650865,330.0608037712984,199.49786402709358,201.38833818023397,192.49839157968918,201.7562472913254,3.1680036051571654,0.984965034965035,0.8951048951048951,0.7727272727272727,1.4615384615384615,0.23155108775016334,1426.9547168000001,1291.759191,1119.827045,2090.214963,330.6312431355704,1381.5,1260.5,1082.0,2060.0,331.90736659495826,1.0,1.0,1.0,1.0,0.0,0.8775,0.825,0.825,1.0,0.08453303101943842,1.0,0.0,0.0,1.0,96.17447615408565,10
qwen3:0.6b,standard_modular,001,0.2,0.9,500,0,5.5,5.5,1.0,10.0,3.0276503540974917,1413.5151167,1274.9430674999999,1140.023298,2332.874539,364.3287970074402,31.7894576,33.388706,18.117316,34.858947,4.8516928407596085,286.0,286.0,286.0,286.0,0.0,18.6468092,14.795656000000001,9.502061,44.26644,10.573217957636244,267.7,241.0,220.0,454.0,72.98257021752218,1355.0464412,1213.408523,1088.168761,2276.732789,366.69371479974836,197.57563292072737,197.6768437629763,191.96294833086193,202.17452281742172,3.289390187034984,0.936013986013986,0.8426573426573427,0.7692307692307693,1.5874125874125875,0.2551838119493783,1373.6932504,1234.2259534999998,1097.6708219999998,2290.278104,365.43321265773943,1293.2,1201.5,1025.0,2058.0,320.7289613780874,1.0,1.0,1.0,1.0,0.0,0.8424999999999999,0.825,0.825,1.0,0.05533985905294665,1.0,0.0,0.0,1.0,95.85213646378668,10
llama3.2:1b,batch_action_modular,001,0.7,0.9,500,40,5.5,5.5,1.0,10.0,3.0276503540974917,515.0659044,463.1600935,392.77172,1134.845609,219.514696328889,35.8619725,35.5279305,34.861767,37.297967,0.8497022370334276,298.0,298.0,298.0,298.0,0.0,4.3161886,4.2751565,3.046046,5.782425,0.865483064096988,57.9,51.5,43.0,135.0,27.327031793933763,473.0377242,421.31616199999996,351.408024,1095.129808,220.3430357119674,122.22446878501266,122.4741719582492,120.04146068359111,123.53917372120817,1.1793913271427672,0.19429530201342282,0.17281879194630873,0.14429530201342283,0.45302013422818793,0.09170144897293209,477.3539128,425.739519,355.884402,1098.1758539999998,219.889024797364,213.0,181.5,158.0,516.0,107.0410097942736,1.2,1.0,1.0,3.0,0.6324555320336759,0.825,0.825,0.47500000000000003,1.0,0.1649915822768611,1.0,0.0,0.0,1.0,95.84945016350987,10
qwen3:0.6b,batch_action_modular,001,0.2,0.9,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,1587.9656445,1437.02146,966.275211,2793.376286,520.9426618381906,32.4023796,32.171568,31.914579,33.480762,0.5624062403182702,286.0,286.0,286.0,286.0,0.0,14.6360749,15.438016000000001,10.430924,17.972351,2.3245015560626445,301.3,271.0,182.0,534.0,103.36241526245838,1533.5030477,1381.49408,910.466713,2742.929067,522.0474931481466,196.3194205001446,196.16870769728112,189.71134116241376,202.4394005320411,3.591795585873249,1.0534965034965036,0.9475524475524475,0.6363636363636364,1.867132867132867,0.3614070463722321,1548.1391226,1396.932096,925.4995170000001,2753.359991,520.9330804052092,1467.7,1333.0,843.0,2566.0,500.35566239315096,1.1,1.0,1.0,2.0,0.31622776601683794,0.86,0.825,0.825,1.0,0.0737864787372622,1.0,0.0,0.0,1.0,95.83139136548655,10
llama3.2:1b,standard_modular,001,0.7,1.0,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,563.9622626,450.982273,383.286732,888.990827,194.49943126475486,36.0740013,35.705273500000004,34.908219,39.100182,1.1788312640341925,298.0,298.0,298.0,298.0,0.0,4.6151138,4.6664075,2.871176,7.973436,1.3659370379752585,63.9,49.5,41.0,105.0,24.05756984125094,521.1995667,407.71217149999995,338.404722,849.390046,194.88468196925444,122.51267939700197,122.23531380805386,120.9845501897639,124.94377031889758,1.2133230800377877,0.21442953020134228,0.16610738255033558,0.13758389261744966,0.3523489932885906,0.08073010013842596,525.8146805,412.6031245,342.347451,852.261222,195.13869646133642,237.8,178.0,149.0,414.0,94.28302545468559,1.3,1.0,1.0,2.0,0.48304589153964794,0.7899999999999999,0.825,0.6499999999999999,0.825,0.0737864787372622,1.0,0.0,0.0,1.0,95.80766402389739,10
qwen3:0.6b,batch_action_modular,001,0.2,0.9,800,0,5.5,5.5,1.0,10.0,3.0276503540974917,1518.1481547,1318.8601965,1263.176823,2684.320298,450.71262438869076,32.370898,32.6071425,27.706596,33.855892,1.7529414191558135,286.0,286.0,286.0,286.0,0.0,14.9141943,15.3030455,11.052792,17.236826,1.8034330392829518,290.0,250.0,239.0,517.0,88.16776936928571,1462.9465357,1261.9605215000001,1206.735398,2629.225016,450.64175906540856,198.38845305048008,198.6005908609032,194.29748037604153,202.02924411451679,2.745757899988437,1.013986013986014,0.8741258741258742,0.8356643356643356,1.8076923076923077,0.3082789138786214,1477.86073,1277.263567,1221.877393,2644.187845,450.6867508440334,1412.6,1262.5,1103.0,2489.0,411.9161727018415,1.0,1.0,1.0,1.0,0.0,0.8424999999999999,0.825,0.825,1.0,0.05533985905294665,1.0,0.0,0.0,1.0,95.76201125150152,10
qwen3:0.6b,batch_action_modular,001,0.7,1.0,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,1804.1895167999999,1627.2130215,1288.635513,2562.633896,461.60986242794564,32.1494084,33.1036165,27.05109,35.229886,2.6241765818092015,286.0,286.0,286.0,286.0,0.0,16.3367959,16.3599505,9.907372,22.395592,3.8813747926787903,347.1,312.0,244.0,501.0,91.68357419831416,1747.5621855,1571.2533805,1233.906526,2502.763578,461.9681688926964,198.64216170965688,198.53099989241792,196.21769472115363,201.83064589198617,1.7063321046017594,1.2136363636363636,1.0909090909090908,0.8531468531468531,1.7517482517482517,0.3205719377563432,1763.8989814000001,1588.2046010000001,1248.513408,2521.798871,461.53771718498456,1687.2,1517.5,1201.0,2393.0,438.5075192564484,1.0,1.0,1.0,1.0,0.0,0.825,0.825,0.825,0.825,0.0,1.0,0.0,0.0,1.0,95.56815112090668,10
qwen3:0.6b,standard_modular,001,0.2,1.0,800,0,5.5,5.5,1.0,10.0,3.0276503540974917,1801.2351151,1516.385317,1233.691647,3023.893293,672.5025659554703,31.410116000000002,32.376760000000004,19.59697,33.779407,4.215593305010551,286.0,286.0,286.0,286.0,0.0,11.5059031,10.8695725,8.621939,15.090493,2.4761621150821935,349.0,293.5,238.0,589.0,132.0050504084345,1750.8276624,1464.208912,1197.174422,2973.415198,670.617058451818,199.60896935876465,198.80311949525256,197.91000752976046,202.38862869251207,1.6761959757361855,1.2202797202797202,1.0262237762237763,0.8321678321678322,2.0594405594405596,0.46155612030921156,1762.3335655,1475.8574305000002,1208.500967,2982.7794980000003,670.6128898502443,1689.2,1428.5,1125.0,2738.0,602.3239807427376,1.4,1.0,1.0,3.0,0.699205898780101,0.85125,0.825,0.7374999999999999,1.0,0.08300978857941999,1.0,0.0,0.0,1.0,95.47685359342096,10
llama3.2:1b,standard_modular,001,0.7,0.9,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,458.03844949999996,428.744577,379.911602,674.894464,89.05452339613323,35.7863117,35.985031500000005,30.25571,37.91126,2.1092147717496954,298.0,298.0,298.0,298.0,0.0,4.2656057,4.1358475,3.33623,5.494596,0.5569361440053667,51.2,47.5,41.0,80.0,11.631375193367674,416.0571978,387.0263385,335.675568,639.375638,90.95337316006551,122.90431936064252,122.73138579561389,122.14174610408347,125.1220647853336,0.833568801686218,0.17181208053691274,0.1593959731543624,0.13758389261744966,0.2684563758389262,0.039031460380428436,420.3228035,391.2599565,341.170164,642.711868,90.64688035884255,185.9,171.5,139.0,300.0,47.43287654968627,1.1,1.0,1.0,2.0,0.31622776601683794,0.78125,0.78125,0.6499999999999999,1.0,0.13834964763236662,1.0,0.0,0.0,1.0,95.37907816171519,10
llama3.2:1b,batch_action_modular,001,0.7,1.0,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,473.2739545,452.25791649999996,377.605638,742.790259,101.1848613857129,35.3795835,35.9747545,27.837836,37.761499,2.747586340981531,298.0,298.0,298.0,298.0,0.0,3.9108101,3.9615255,3.292592,4.46772,0.38463243965388566,53.4,50.5,42.0,87.0,12.53616989177937,432.0508537,410.7375155,343.919365,700.506679,100.1263215207141,123.53827402890036,123.36268252942874,122.12164906736204,125.07380755211649,0.9356264577729195,0.17919463087248322,0.16946308724832215,0.14093959731543623,0.29194630872483224,0.04206768420060192,435.9616638,414.6635235,347.87268,704.674089,100.2482506810466,195.0,181.0,139.0,334.0,54.10689009318088,1.1,1.0,1.0,2.0,0.31622776601683794,0.78125,0.78125,0.6499999999999999,1.0,0.13834964763236662,1.0,0.0,0.0,1.0,95.35948271335603,10
