lib,cls,method,spec,code,event,sources,apks,lines,runs_nobs_only,exp,apk_list
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmDecryptCipher,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,GCMCipher.kt:107,4,225,183,a GCMParameterSpec built over an observed randomized source,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,CipherSpec,CIPHER-NOBS-00,i2,GCMCipher.kt:74,4,228,184,a key produced by one of the generators the rule names,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,c1,GCMCipher.kt:73,4,228,184,a randomized byte[],com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,GCMCipher.kt:74,4,228,184,a GCMParameterSpec built over an observed randomized source,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.util.NonceKt$nonceGeneratorJob$1,invokeSuspend,SecureRandomSpec,SECURERANDOM-NOBS-00,setSeed2,Nonce.kt:43;Nonce.kt:63;Nonce.kt:66,1,9,0,a randomized byte[],com.serwylo.retrowars_70.apk
okhttp,okhttp3.OkHttpClient,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-00,init,OkHttpClient.java:264,2,323,197,a KeyManager[] an observed KeyManagerFactory returned,com.cointrend_10304.apk;com.faltenreich.diaguard_68.apk
okhttp,okhttp3.OkHttpClient,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-01,init,OkHttpClient.java:264,2,323,197,a TrustManager[] an observed TrustManagerFactory returned,com.cointrend_10304.apk;com.faltenreich.diaguard_68.apk
okhttp,okhttp3.OkHttpClient,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-02,init,OkHttpClient.java:264,2,323,197,a SecureRandom this instrumentation observed being created,com.cointrend_10304.apk;com.faltenreich.diaguard_68.apk
okhttp,okhttp3.internal.Util,platformTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,init,Util.java:640,2,323,0,a KeyStore this instrumentation observed being loaded,com.cointrend_10304.apk;com.faltenreich.diaguard_68.apk
okhttp,okhttp3.internal.platform.Platform,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-00,init,Platform.kt:160;Platform.kt:168;Platform.kt:180;Platform.kt:191;Platform.kt:194;Platform.kt:197,52,7291,3688,a KeyManager[] an observed KeyManagerFactory returned,app.eduroam.geteduroam_2685.apk;app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;app.pachli_50.apk;be.digitalia.fosdem_2300230.apk;cc.sovellus.vrcaa_300007.apk;ch.joshuah.bibleverseapp_8.apk;ch.rmy.android.http_shortcuts_1104060001.apk;com.absinthe.libchecker_2671.apk;com.antony.muzei.pixiv_327.apk;com.celzero.bravedns_619.apk;com.craxiom.networksurvey_114.apk;com.daniebeler.pfpixelix_40.apk;com.etesync.syncadapter_20700.apk;com.flxrs.dankchat_40038.apk;com.github.livingwithhippos.unchained_60.apk;com.ivanovsky.passnotes_11700.apk;com.jerboa_87.apk;com.manimarank.spell4wiki_21.apk;com.matedroid_178120864.apk;com.micoyc.speakthat_58.apk;com.ominous.quickweather_112.apk;com.password.monitor_102.apk;com.quantum_prof.phantalandwaittimes_5.apk;com.rtbishop.look4sat_410.apk;com.sakethh.linkora_50.apk;com.starry.myne_500.apk;com.vermont.possin_8.apk;de.lukasneugebauer.nextcloudcookbook_62.apk;de.stephanlindauer.criticalmaps_104.apk;dev.dettmer.simplenotes_41.apk;dev.itsvic.parceltracker_10501000.apk;dev.sebaubuntu.athena_17.apk;eu.darken.sdmse_10705000.apk;fr.corenting.traficparis_34.apk;io.github.garemat.lunachron_23201.apk;io.treehouses.remote_6098.apk;jwtc.android.chess_283.apk;me.mudkip.moememos_48.apk;me.timschneeberger.rootlessjamesdsp_51.apk;net.pfiers.osmfocus_1009013.apk;org.jellyfin.mobile_2060499.apk;org.liberty.android.fantastischmemo_241.apk;org.musicbrainz.picard.barcodescanner_38.apk;org.nqmgaming.aneko_34.apk;org.openhab.habdroid_589.apk;org.quantumbadger.redreader_117.apk;org.tomasino.stutter_29.apk;org.totschnig.myexpenses_858.apk;org.wikipedia_50595.apk;ua.com.radiokot.lnaddr2invoice_8.apk;ua.com.radiokot.photoprism_67.apk
okhttp,okhttp3.internal.platform.Platform,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-01,init,Platform.kt:160;Platform.kt:168;Platform.kt:180;Platform.kt:191;Platform.kt:194;Platform.kt:197,52,7293,3688,a TrustManager[] an observed TrustManagerFactory returned,app.eduroam.geteduroam_2685.apk;app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;app.pachli_50.apk;be.digitalia.fosdem_2300230.apk;cc.sovellus.vrcaa_300007.apk;ch.joshuah.bibleverseapp_8.apk;ch.rmy.android.http_shortcuts_1104060001.apk;com.absinthe.libchecker_2671.apk;com.antony.muzei.pixiv_327.apk;com.celzero.bravedns_619.apk;com.craxiom.networksurvey_114.apk;com.daniebeler.pfpixelix_40.apk;com.etesync.syncadapter_20700.apk;com.flxrs.dankchat_40038.apk;com.github.livingwithhippos.unchained_60.apk;com.ivanovsky.passnotes_11700.apk;com.jerboa_87.apk;com.manimarank.spell4wiki_21.apk;com.matedroid_178120864.apk;com.micoyc.speakthat_58.apk;com.ominous.quickweather_112.apk;com.password.monitor_102.apk;com.quantum_prof.phantalandwaittimes_5.apk;com.rtbishop.look4sat_410.apk;com.sakethh.linkora_50.apk;com.starry.myne_500.apk;com.vermont.possin_8.apk;de.lukasneugebauer.nextcloudcookbook_62.apk;de.stephanlindauer.criticalmaps_104.apk;dev.dettmer.simplenotes_41.apk;dev.itsvic.parceltracker_10501000.apk;dev.sebaubuntu.athena_17.apk;eu.darken.sdmse_10705000.apk;fr.corenting.traficparis_34.apk;io.github.garemat.lunachron_23201.apk;io.treehouses.remote_6098.apk;jwtc.android.chess_283.apk;me.mudkip.moememos_48.apk;me.timschneeberger.rootlessjamesdsp_51.apk;net.pfiers.osmfocus_1009013.apk;org.jellyfin.mobile_2060499.apk;org.liberty.android.fantastischmemo_241.apk;org.musicbrainz.picard.barcodescanner_38.apk;org.nqmgaming.aneko_34.apk;org.openhab.habdroid_589.apk;org.quantumbadger.redreader_117.apk;org.tomasino.stutter_29.apk;org.totschnig.myexpenses_858.apk;org.wikipedia_50595.apk;ua.com.radiokot.lnaddr2invoice_8.apk;ua.com.radiokot.photoprism_67.apk
okhttp,okhttp3.internal.platform.Platform,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-02,init,Platform.kt:160;Platform.kt:168;Platform.kt:180;Platform.kt:191;Platform.kt:194;Platform.kt:197,52,7291,3688,a SecureRandom this instrumentation observed being created,app.eduroam.geteduroam_2685.apk;app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;app.pachli_50.apk;be.digitalia.fosdem_2300230.apk;cc.sovellus.vrcaa_300007.apk;ch.joshuah.bibleverseapp_8.apk;ch.rmy.android.http_shortcuts_1104060001.apk;com.absinthe.libchecker_2671.apk;com.antony.muzei.pixiv_327.apk;com.celzero.bravedns_619.apk;com.craxiom.networksurvey_114.apk;com.daniebeler.pfpixelix_40.apk;com.etesync.syncadapter_20700.apk;com.flxrs.dankchat_40038.apk;com.github.livingwithhippos.unchained_60.apk;com.ivanovsky.passnotes_11700.apk;com.jerboa_87.apk;com.manimarank.spell4wiki_21.apk;com.matedroid_178120864.apk;com.micoyc.speakthat_58.apk;com.ominous.quickweather_112.apk;com.password.monitor_102.apk;com.quantum_prof.phantalandwaittimes_5.apk;com.rtbishop.look4sat_410.apk;com.sakethh.linkora_50.apk;com.starry.myne_500.apk;com.vermont.possin_8.apk;de.lukasneugebauer.nextcloudcookbook_62.apk;de.stephanlindauer.criticalmaps_104.apk;dev.dettmer.simplenotes_41.apk;dev.itsvic.parceltracker_10501000.apk;dev.sebaubuntu.athena_17.apk;eu.darken.sdmse_10705000.apk;fr.corenting.traficparis_34.apk;io.github.garemat.lunachron_23201.apk;io.treehouses.remote_6098.apk;jwtc.android.chess_283.apk;me.mudkip.moememos_48.apk;me.timschneeberger.rootlessjamesdsp_51.apk;net.pfiers.osmfocus_1009013.apk;org.jellyfin.mobile_2060499.apk;org.liberty.android.fantastischmemo_241.apk;org.musicbrainz.picard.barcodescanner_38.apk;org.nqmgaming.aneko_34.apk;org.openhab.habdroid_589.apk;org.quantumbadger.redreader_117.apk;org.tomasino.stutter_29.apk;org.totschnig.myexpenses_858.apk;org.wikipedia_50595.apk;ua.com.radiokot.lnaddr2invoice_8.apk;ua.com.radiokot.photoprism_67.apk
okhttp,okhttp3.internal.platform.Platform,platformTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,init,Platform.kt:80;Platform.kt:83;Platform.kt:84;Platform.kt:85,54,7909,0,a KeyStore this instrumentation observed being loaded,app.eduroam.geteduroam_2685.apk;app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;app.pachli_50.apk;be.digitalia.fosdem_2300230.apk;cc.sovellus.vrcaa_300007.apk;ch.joshuah.bibleverseapp_8.apk;ch.rmy.android.http_shortcuts_1104060001.apk;co.epitre.aelf_lectures_86.apk;com.absinthe.libchecker_2671.apk;com.antony.muzei.pixiv_327.apk;com.celzero.bravedns_619.apk;com.craxiom.networksurvey_114.apk;com.daniebeler.pfpixelix_40.apk;com.etesync.syncadapter_20700.apk;com.flxrs.dankchat_40038.apk;com.github.livingwithhippos.unchained_60.apk;com.ivanovsky.passnotes_11700.apk;com.jerboa_87.apk;com.manimarank.spell4wiki_21.apk;com.matedroid_178120864.apk;com.micoyc.speakthat_58.apk;com.ominous.quickweather_112.apk;com.password.monitor_102.apk;com.quantum_prof.phantalandwaittimes_5.apk;com.rtbishop.look4sat_410.apk;com.sakethh.linkora_50.apk;com.starry.myne_500.apk;com.vermont.possin_8.apk;de.lukasneugebauer.nextcloudcookbook_62.apk;de.stephanlindauer.criticalmaps_104.apk;dev.dettmer.simplenotes_41.apk;dev.itsvic.parceltracker_10501000.apk;dev.sebaubuntu.athena_17.apk;eu.darken.sdmse_10705000.apk;fr.corenting.traficparis_34.apk;io.github.garemat.lunachron_23201.apk;io.treehouses.remote_6098.apk;jwtc.android.chess_283.apk;me.mudkip.moememos_48.apk;me.timschneeberger.rootlessjamesdsp_51.apk;net.pfiers.osmfocus_1009013.apk;net.phbwt.paperwork_1003007.apk;org.jellyfin.mobile_2060499.apk;org.liberty.android.fantastischmemo_241.apk;org.musicbrainz.picard.barcodescanner_38.apk;org.nqmgaming.aneko_34.apk;org.openhab.habdroid_589.apk;org.quantumbadger.redreader_117.apk;org.tomasino.stutter_29.apk;org.totschnig.myexpenses_858.apk;org.wikipedia_50595.apk;ua.com.radiokot.lnaddr2invoice_8.apk;ua.com.radiokot.photoprism_67.apk
okhttp,okhttp3.tls.HandshakeCertificates,sslContext,SSLContextSpec,SSLCONTEXT-NOBS-00,init,HandshakeCertificates.kt:94;HandshakeCertificates.kt:97,2,633,198,a KeyManager[] an observed KeyManagerFactory returned,co.epitre.aelf_lectures_86.apk;net.phbwt.paperwork_1003007.apk
okhttp,okhttp3.tls.HandshakeCertificates,sslContext,SSLContextSpec,SSLCONTEXT-NOBS-01,init,HandshakeCertificates.kt:94;HandshakeCertificates.kt:97,2,633,198,a TrustManager[] an observed TrustManagerFactory returned,co.epitre.aelf_lectures_86.apk;net.phbwt.paperwork_1003007.apk
other,app.michaelwuensch.bitbanana.util.UtilFunctions,encodePbkdf2,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,c1,UtilFunctions.java:93,1,1,0,a randomized byte[],app.michaelwuensch.bitbanana_79.apk
other,app.michaelwuensch.bitbanana.util.UtilFunctions,encodePbkdf2,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,gen,UtilFunctions.java:95,1,1,0,a key spec this instrumentation observed being built from key material,app.michaelwuensch.bitbanana_79.apk
other,at.bitfire.cert4android.CertUtils,getTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,init,CertUtils.kt:22,1,6,0,a KeyStore this instrumentation observed being loaded,com.etesync.syncadapter_20700.apk
other,ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-00,init,HttpClientFactory.kt:211,1,24,23,a KeyManager[] an observed KeyManagerFactory returned,ch.rmy.android.http_shortcuts_1104060001.apk
other,ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-01,init,HttpClientFactory.kt:211,1,24,23,a TrustManager[] an observed TrustManagerFactory returned,ch.rmy.android.http_shortcuts_1104060001.apk
other,ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-02,init,HttpClientFactory.kt:211,1,24,23,a SecureRandom this instrumentation observed being created,ch.rmy.android.http_shortcuts_1104060001.apk
other,com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,CipherSpec,CIPHER-NOBS-00,i2,Cryptography.kt:109,1,215,15,a key produced by one of the generators the rule names,com.afkanerd.deku_83.apk
other,com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,c1,Cryptography.kt:108,1,215,15,a randomized byte[],com.afkanerd.deku_83.apk
other,com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,Cryptography.kt:109,1,215,15,a GCMParameterSpec built over an observed randomized source,com.afkanerd.deku_83.apk
other,com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,encryptWithKeyStore,CipherSpec,CIPHER-NOBS-00,i2,Cryptography.kt:78,1,169,99,a key produced by one of the generators the rule names,com.afkanerd.deku_83.apk
other,com.beemdevelopment.aegis.crypto.CryptoUtils,createCipher,CipherSpec,CIPHER-NOBS-00,i2,CryptoUtils.java:66,1,2,2,a key produced by one of the generators the rule names,com.beemdevelopment.aegis_81.apk
other,com.beemdevelopment.aegis.crypto.CryptoUtils,createCipher,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,c1,CryptoUtils.java:66,1,2,2,a randomized byte[],com.beemdevelopment.aegis_81.apk
other,com.beemdevelopment.aegis.crypto.CryptoUtils,createCipher,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,CryptoUtils.java:66,1,2,2,a GCMParameterSpec built over an observed randomized source,com.beemdevelopment.aegis_81.apk
other,com.beemdevelopment.aegis.crypto.CryptoUtils,deriveKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,c2,CryptoUtils.java:38,1,6,6,prepared key material,com.beemdevelopment.aegis_81.apk
other,com.beemdevelopment.aegis.crypto.otp.HOTP,getHash,MacSpec,MAC-NOBS-00,i1,HOTP.java:41,1,2,0,"a key observed coming from a key generator, a key store or a key specification",com.beemdevelopment.aegis_81.apk
other,com.beemdevelopment.aegis.crypto.otp.HOTP,getHash,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,HOTP.java:32,1,2,0,prepared key material,com.beemdevelopment.aegis_81.apk
other,com.craxiom.networksurvey.util.CryptoManager,decrypt,CipherSpec,CIPHER-NOBS-00,i2,CryptoManager.kt:109,1,2,2,a key produced by one of the generators the rule names,com.craxiom.networksurvey_114.apk
other,com.craxiom.networksurvey.util.CryptoManager,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,c1,CryptoManager.kt:108,1,2,2,a randomized byte[],com.craxiom.networksurvey_114.apk
other,com.craxiom.networksurvey.util.CryptoManager,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,CryptoManager.kt:109,1,2,2,a GCMParameterSpec built over an observed randomized source,com.craxiom.networksurvey_114.apk
other,com.craxiom.networksurvey.util.CryptoManager,encrypt,CipherSpec,CIPHER-NOBS-00,i2,CryptoManager.kt:74,1,3,3,a key produced by one of the generators the rule names,com.craxiom.networksurvey_114.apk
other,com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-00,init,HttpClient.kt:233,1,6,5,a KeyManager[] an observed KeyManagerFactory returned,com.etesync.syncadapter_20700.apk
other,com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-01,init,HttpClient.kt:233,1,6,5,a TrustManager[] an observed TrustManagerFactory returned,com.etesync.syncadapter_20700.apk
other,com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-02,init,HttpClient.kt:233,1,6,5,a SecureRandom this instrumentation observed being created,com.etesync.syncadapter_20700.apk
other,com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher,decrypt,CipherSpec,CIPHER-NOBS-00,i2,MarketPriceFetcher.java:474,1,5,5,a key produced by one of the generators the rule names,com.gelakinetic.mtgfam_99.apk
other,com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher$1,fetch,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,c1,MarketPriceFetcher.java:126,1,5,5,a randomized byte[],com.gelakinetic.mtgfam_99.apk
other,com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher$1,fetch,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,MarketPriceFetcher.java:125,1,5,5,prepared key material,com.gelakinetic.mtgfam_99.apk
other,com.google.android.gms.internal.ads.zzbbe,zzb,CipherSpec,CIPHER-NOBS-00,i2,com.google.android.gms:play-services-ads@@25.3.0:10,1,243,0,a key produced by one of the generators the rule names,com.tananaev.passportreader_22.apk
other,com.google.android.gms.internal.ads.zzbbe,zzb,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,c1,com.google.android.gms:play-services-ads@@25.3.0:10,1,243,98,a randomized byte[],com.tananaev.passportreader_22.apk
other,com.google.android.gms.internal.ads.zzbbe,zzb,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,com.google.android.gms:play-services-ads@@25.3.0:9,1,244,99,prepared key material,com.tananaev.passportreader_22.apk
other,com.google.android.vending.licensing.AESObfuscator,<init>,CipherSpec,CIPHER-NOBS-00,i2,AESObfuscator.java:63;AESObfuscator.java:65,1,454,99,a key produced by one of the generators the rule names,org.totschnig.myexpenses_858.apk
other,com.google.android.vending.licensing.AESObfuscator,<init>,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,use,AESObfuscator.java:63,1,227,99,an IvParameterSpec built over an observed randomized iv,org.totschnig.myexpenses_858.apk
other,com.google.android.vending.licensing.AESObfuscator,<init>,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,c1,AESObfuscator.java:63;AESObfuscator.java:65,1,454,99,a randomized byte[],org.totschnig.myexpenses_858.apk
other,com.google.android.vending.licensing.AESObfuscator,<init>,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,c1,AESObfuscator.java:59,1,227,0,a randomized byte[],org.totschnig.myexpenses_858.apk
other,com.google.android.vending.licensing.AESObfuscator,<init>,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,gen,AESObfuscator.java:60,1,227,0,a key spec this instrumentation observed being built from key material,org.totschnig.myexpenses_858.apk
other,com.google.android.vending.licensing.AESObfuscator,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,AESObfuscator.java:61,1,227,99,prepared key material,org.totschnig.myexpenses_858.apk
other,com.ivanovsky.passnotes.data.repository.file.webdav.HttpClientFactory,createHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-00,init,HttpClientFactory.kt:38,1,1,1,a KeyManager[] an observed KeyManagerFactory returned,com.ivanovsky.passnotes_11700.apk
other,com.ivanovsky.passnotes.data.repository.file.webdav.HttpClientFactory,createHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-01,init,HttpClientFactory.kt:38,1,1,1,a TrustManager[] an observed TrustManagerFactory returned,com.ivanovsky.passnotes_11700.apk
other,com.leekleak.trafficlight.database.CryptoManager,decrypt,CipherSpec,CIPHER-NOBS-00,i2,CryptoManager.kt:61,1,204,23,a key produced by one of the generators the rule names,com.leekleak.trafficlight_38.apk
other,com.leekleak.trafficlight.database.CryptoManager,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,c1,CryptoManager.kt:61,1,298,98,a randomized byte[],com.leekleak.trafficlight_38.apk
other,com.leekleak.trafficlight.database.CryptoManager,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,CryptoManager.kt:61,1,298,98,a GCMParameterSpec built over an observed randomized source,com.leekleak.trafficlight_38.apk
other,com.matedroid.di.TeslamateApiFactory,configureInsecureTls,SSLContextSpec,SSLCONTEXT-NOBS-00,init,NetworkModule.kt:216,1,1,1,a KeyManager[] an observed KeyManagerFactory returned,com.matedroid_178120864.apk
other,com.matedroid.di.TeslamateApiFactory,configureInsecureTls,SSLContextSpec,SSLCONTEXT-NOBS-01,init,NetworkModule.kt:216,1,1,1,a TrustManager[] an observed TrustManagerFactory returned,com.matedroid_178120864.apk
other,com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,decodeKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,AesCbcWithIntegrity.kt:98,1,2,1,prepared key material,com.nononsenseapps.feeder.play_4025.apk
other,com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,decodeKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,c2,AesCbcWithIntegrity.kt:97,1,2,1,prepared key material,com.nononsenseapps.feeder.play_4025.apk
other,com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,decrypt,CipherSpec,CIPHER-NOBS-00,i2,AesCbcWithIntegrity.kt:363,1,2,1,a key produced by one of the generators the rule names,com.nononsenseapps.feeder.play_4025.apk
other,com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,decrypt,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,c1,AesCbcWithIntegrity.kt:366,1,2,1,a randomized byte[],com.nononsenseapps.feeder.play_4025.apk
other,com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,encrypt,CipherSpec,CIPHER-NOBS-00,i2,AesCbcWithIntegrity.kt:289,1,1,1,a key produced by one of the generators the rule names,com.nononsenseapps.feeder.play_4025.apk
other,com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,generateKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,AesCbcWithIntegrity.kt:130,1,108,99,prepared key material,com.nononsenseapps.feeder.play_4025.apk
other,com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,generateMac,MacSpec,MAC-NOBS-00,i1,AesCbcWithIntegrity.kt:395,1,2,1,"a key observed coming from a key generator, a key store or a key specification",com.nononsenseapps.feeder.play_4025.apk
other,com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,SSLContextSpec,SSLCONTEXT-NOBS-00,init,OkHttpBuilderExtensions.kt:32,1,143,98,a KeyManager[] an observed KeyManagerFactory returned,com.nononsenseapps.feeder.play_4025.apk
other,com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,SSLContextSpec,SSLCONTEXT-NOBS-01,init,OkHttpBuilderExtensions.kt:32,1,143,98,a TrustManager[] an observed TrustManagerFactory returned,com.nononsenseapps.feeder.play_4025.apk
other,com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,SSLContextSpec,SSLCONTEXT-NOBS-02,init,OkHttpBuilderExtensions.kt:32,1,143,98,a SecureRandom this instrumentation observed being created,com.nononsenseapps.feeder.play_4025.apk
other,com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-00,init,HttpClient.java:81,1,24,20,a KeyManager[] an observed KeyManagerFactory returned,com.owncloud.android_48000100.apk
other,com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-01,init,HttpClient.java:81,1,24,20,a TrustManager[] an observed TrustManagerFactory returned,com.owncloud.android_48000100.apk
other,com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-02,init,HttpClient.java:81,1,24,20,a SecureRandom this instrumentation observed being created,com.owncloud.android_48000100.apk
other,com.owncloud.android.lib.common.network.AdvancedX509TrustManager,<init>,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,init,AdvancedX509TrustManager.java:59,1,24,0,a KeyStore this instrumentation observed being loaded,com.owncloud.android_48000100.apk
other,de.duenndns.ssl.MemorizingTrustManager,getTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,init,MemorizingTrustManager.java:310,1,214,0,a KeyStore this instrumentation observed being loaded,org.openhab.habdroid_589.apk
other,de.luhmer.owncloudnewsreader.ssl.MemorizingTrustManager,getTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,init,MemorizingTrustManager.java:282,1,194,0,a KeyStore this instrumentation observed being loaded,de.luhmer.owncloudnewsreader_196.apk
other,de.lukasneugebauer.nextcloudcookbook.core.util.OkHttpClientProvider,configureTrustAllCertificates,SSLContextSpec,SSLCONTEXT-NOBS-00,init,OkHttpClientProvider.kt:74,1,96,0,a KeyManager[] an observed KeyManagerFactory returned,de.lukasneugebauer.nextcloudcookbook_62.apk
other,de.lukasneugebauer.nextcloudcookbook.core.util.OkHttpClientProvider,configureTrustAllCertificates,SSLContextSpec,SSLCONTEXT-NOBS-01,init,OkHttpClientProvider.kt:74,1,96,0,a TrustManager[] an observed TrustManagerFactory returned,de.lukasneugebauer.nextcloudcookbook_62.apk
other,dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,derivePasswordKeyEncryptionKey,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,c1,KeyGen.kt:43,1,51,47,a randomized byte[],dev.leonlatsch.photok_62.apk
other,dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,derivePasswordKeyEncryptionKey,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,gen,KeyGen.kt:44,1,51,47,a key spec this instrumentation observed being built from key material,dev.leonlatsch.photok_62.apk
other,dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,derivePasswordKeyEncryptionKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,KeyGen.kt:46,1,51,47,prepared key material,dev.leonlatsch.photok_62.apk
other,dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,generateVaultMasterKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,KeyGen.kt:32,1,47,47,prepared key material,dev.leonlatsch.photok_62.apk
other,dev.leonlatsch.photok.encryption.domain.handlers.PasswordVaultProtectionHandler,create,CipherSpec,CIPHER-NOBS-00,i2,PasswordVaultProtectionHandler.kt:104,1,47,47,a key produced by one of the generators the rule names,dev.leonlatsch.photok_62.apk
