lib,cls,method,spec,code,event,sources,apks,lines,runs_nobs_only,exp,apk_list
other,org.flyve.inventory.CryptoUtil,stringToPublicKey,KeyFactorySpec,KEYFACTORY-NOBS-01,genPublic,CryptoUtil.java:110,1,92,80,a key spec this instrumentation observed being built from key material,org.glpi.inventory.agent_39469.apk
other,org.flyve.inventory.CryptoUtil,stringToPublicKey,X509EncodedKeySpecSpec,X509ENCODEDKEYSPEC-NOBS-00,c1,CryptoUtil.java:108,1,92,80,key material the monitor observed being prepared,org.glpi.inventory.agent_39469.apk
other,org.openhab.habdroid.core.connection.ConnectionFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-00,init,ConnectionFactory.kt:172,1,214,99,a KeyManager[] an observed KeyManagerFactory returned,org.openhab.habdroid_589.apk
other,org.openhab.habdroid.core.connection.ConnectionFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-01,init,ConnectionFactory.kt:172,1,214,99,a TrustManager[] an observed TrustManagerFactory returned,org.openhab.habdroid_589.apk
other,org.openhab.habdroid.core.connection.ConnectionFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-02,init,ConnectionFactory.kt:172,1,214,99,a SecureRandom this instrumentation observed being created,org.openhab.habdroid_589.apk
other,org.openhab.habdroid.core.connection.ConnectionFactory,updateHttpClientForClientCert,SSLContextSpec,SSLCONTEXT-NOBS-00,init,ConnectionFactory.kt:324,1,200,97,a KeyManager[] an observed KeyManagerFactory returned,org.openhab.habdroid_589.apk
other,org.openhab.habdroid.core.connection.ConnectionFactory,updateHttpClientForClientCert,SSLContextSpec,SSLCONTEXT-NOBS-01,init,ConnectionFactory.kt:324,1,202,97,a TrustManager[] an observed TrustManagerFactory returned,org.openhab.habdroid_589.apk
other,org.openhab.habdroid.core.connection.ConnectionFactory,updateHttpClientForClientCert,SSLContextSpec,SSLCONTEXT-NOBS-02,init,ConnectionFactory.kt:324,1,203,97,a SecureRandom this instrumentation observed being created,org.openhab.habdroid_589.apk
other,org.quantumbadger.redreader.common.General,parseConfig,CipherSpec,CIPHER-NOBS-00,i2,General.kt:699,1,154,99,a key produced by one of the generators the rule names,org.quantumbadger.redreader_117.apk
other,org.quantumbadger.redreader.common.General,parseConfig,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,c1,General.kt:702,1,154,99,a randomized byte[],org.quantumbadger.redreader_117.apk
other,org.quantumbadger.redreader.common.General,parseConfig,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,General.kt:701,1,154,99,prepared key material,org.quantumbadger.redreader_117.apk
other,org.spongycastle.jcajce.provider.asymmetric.x509.X509CertificateObject,checkSignature,SignatureSpec,SIGNATURE-NOBS-02,i4,X509CertificateObject.java:805,1,233,99,a public key produced by one of the generators the rule names,com.tananaev.passportreader_22.apk
other,rocks.poopjournal.metadataremover.viewmodel.MainViewModel,<clinit>,SecureRandomSpec,SECURERANDOM-NOBS-01,c2,MainViewModel.kt:46,1,264,99,a randomized byte[],rocks.poopjournal.metadataremover_20020.apk
other,se.arctosoft.vault.encryption.Encryption,getDirHash,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,c1,Encryption.java:689,1,24,10,a randomized byte[],se.arctosoft.vault_41.apk
other,se.arctosoft.vault.encryption.Encryption,getDirHash,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,gen,Encryption.java:690,1,23,10,a key spec this instrumentation observed being built from key material,se.arctosoft.vault_41.apk
