apk,arm,rep,timeout,lines,k4,k5,k7,mop_unique_tasks
com.blacksquircle.ui_10028.apk,droidmate,2,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,droidmate,2,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,droidmate,2,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,droidmate,3,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,droidmate,3,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,droidmate,3,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,humanoid,1,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,humanoid,1,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,humanoid,1,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,humanoid,2,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,humanoid,2,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,humanoid,2,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,humanoid,3,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,humanoid,3,180,0,0,0,0,0
app.eduroam.geteduroam_2685.apk,monkey,2,60,7,2,7,7,7.0
ch.joshuah.bibleverseapp_8.apk,monkey,2,60,7,2,7,7,7.0
ch.joshuah.bibleverseapp_8.apk,monkey,3,60,7,2,7,7,7.0
ch.joshuah.bibleverseapp_8.apk,ares,1,60,14,2,7,7,7.0
com.blacksquircle.ui_10028.apk,monkey,1,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,monkey,3,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,humanoid,3,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,ares,1,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,ares,1,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,ares,1,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,ares,2,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,ares,2,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,ares,2,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,ares,3,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,ares,3,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,ares,3,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,fastbot,1,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,fastbot,1,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,fastbot,2,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,fastbot,2,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,fastbot,2,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,fastbot,3,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,fastbot,3,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,fastbot,3,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,qtesting,1,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,qtesting,1,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,qtesting,1,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,qtesting,2,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,qtesting,2,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,qtesting,2,300,0,0,0,0,0
com.blacksquircle.ui_10028.apk,qtesting,3,60,0,0,0,0,0
com.blacksquircle.ui_10028.apk,qtesting,3,180,0,0,0,0,0
com.blacksquircle.ui_10028.apk,qtesting,3,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,monkey,2,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,monkey,3,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_greedy,1,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_greedy,1,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_greedy,1,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_greedy,2,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_greedy,2,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_greedy,2,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_greedy,3,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_greedy,3,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_greedy,3,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_greedy,1,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_greedy,1,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_greedy,1,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_greedy,2,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_greedy,2,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_greedy,2,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_greedy,3,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_greedy,3,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_greedy,3,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_naive,1,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_naive,1,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_naive,1,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_naive,2,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_naive,2,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_naive,2,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_naive,3,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_naive,3,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:dfs_naive,3,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_naive,1,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_naive,1,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_naive,1,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_naive,2,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_naive,2,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_naive,2,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_naive,3,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_naive,3,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidbot:bfs_naive,3,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,ape,1,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,ape,1,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,ape,2,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,ape,2,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,ape,2,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,ape,3,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,ape,3,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,ape,3,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidmate,1,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidmate,1,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidmate,1,300,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidmate,2,60,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidmate,2,180,0,0,0,0,0
com.dessalines.thumbkey_179.apk,droidmate,2,300,0,0,0,0,0
