spec,code,error_type,site_kind,event,file_line,label
CipherSpec,CIPHER-ORDER-03,InvalidSequenceOfMethodCalls,ORDER,@fail,CipherSpec.mop:564,creation-refused
CipherSpec,CIPHER-ALG-00,UnsafeAlgorithm,ALG,i1,CipherSpec.mop:164,violation
CipherSpec,CIPHER-CONSTR-00,UnsatisfiedConstraint,CONSTR,i2,CipherSpec.mop:275,violation
CipherSpec,CIPHER-NOBS-00,UnsatisfiedConstraint,NOBS,i2,CipherSpec.mop:283,not-observed
CipherSpec,CIPHER-NOBS-01,UnsatisfiedConstraint,NOBS,i2,CipherSpec.mop:279,upstream-refused
CipherSpec,CIPHER-ALG-01,UnsafeAlgorithm,ALG,i2,CipherSpec.mop:287,violation
CipherSpec,CIPHER-CONSTR-01,UnsatisfiedConstraint,CONSTR,f5,CipherSpec.mop:436,violation
CipherSpec,CIPHER-CONSTR-02,UnsatisfiedConstraint,CONSTR,f6,CipherSpec.mop:449,violation
CipherSpec,CIPHER-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,CipherSpec.mop:572,sequence
CipherSpec,CIPHER-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,CipherSpec.mop:560,creation-unobserved
CipherSpec,CIPHER-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,CipherSpec.mop:568,reuse-after-final
MacSpec,MAC-ORDER-03,InvalidSequenceOfMethodCalls,ORDER,@fail,MacSpec.mop:542,creation-refused
MacSpec,MAC-ALG-00,UnsafeAlgorithm,ALG,i1,MacSpec.mop:232,violation
MacSpec,MAC-ALG-01,UnsafeAlgorithm,ALG,i2,MacSpec.mop:292,violation
MacSpec,MAC-CONSTR-00,UnsatisfiedConstraint,CONSTR,f2,MacSpec.mop:470,violation
MacSpec,MAC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,MacSpec.mop:550,sequence
MacSpec,MAC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,MacSpec.mop:538,creation-unobserved
MacSpec,MAC-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,MacSpec.mop:546,reuse-after-final
MacSpec,MAC-CONSTR-01,UnsatisfiedConstraint,CONSTR,i1,MacSpec.mop:237,violation
MacSpec,MAC-NOBS-00,UnsatisfiedConstraint,NOBS,i1,MacSpec.mop:245,not-observed
MacSpec,MAC-CONSTR-02,UnsatisfiedConstraint,CONSTR,i2,MacSpec.mop:297,violation
MacSpec,MAC-NOBS-01,UnsatisfiedConstraint,NOBS,i2,MacSpec.mop:301,not-observed
MacSpec,MAC-NOBS-02,UnsatisfiedConstraint,NOBS,i1,MacSpec.mop:241,upstream-refused
MessageDigestSpec,MESSAGEDIGEST-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,MessageDigestSpec.mop:237,creation-refused
MessageDigestSpec,MESSAGEDIGEST-ALG-02,UnsafeAlgorithm,ALG,g4,MessageDigestSpec.mop:122,violation
MessageDigestSpec,MESSAGEDIGEST-ALG-00,UnsafeAlgorithm,ALG,update,MessageDigestSpec.mop:150,violation
MessageDigestSpec,MESSAGEDIGEST-ALG-03,UnsafeAlgorithm,ALG,d1,MessageDigestSpec.mop:178,violation
MessageDigestSpec,MESSAGEDIGEST-ALG-01,UnsafeAlgorithm,ALG,d2,MessageDigestSpec.mop:192,violation
MessageDigestSpec,MESSAGEDIGEST-ALG-04,UnsafeAlgorithm,ALG,d3,MessageDigestSpec.mop:207,violation
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,MessageDigestSpec.mop:241,sequence
MessageDigestSpec,MESSAGEDIGEST-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,MessageDigestSpec.mop:233,creation-unobserved
KeyStoreSpec,KEYSTORE-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyStoreSpec.mop:165,creation-refused
KeyStoreSpec,KEYSTORE-KSTYPE-00,InvalidKeyStoreType,KSTYPE,gk1,KeyStoreSpec.mop:151,violation
KeyStoreSpec,KEYSTORE-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyStoreSpec.mop:169,sequence
KeyStoreSpec,KEYSTORE-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyStoreSpec.mop:161,creation-unobserved
KeyGeneratorSpec,KEYGENERATOR-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyGeneratorSpec.mop:216,creation-refused
KeyGeneratorSpec,KEYGENERATOR-CONSTR-00,UnsatisfiedConstraint,CONSTR,initRandom,KeyGeneratorSpec.mop:156,violation
KeyGeneratorSpec,KEYGENERATOR-NOBS-00,UnsatisfiedConstraint,NOBS,initRandom,KeyGeneratorSpec.mop:160,not-observed
KeyGeneratorSpec,KEYGENERATOR-CONSTR-01,UnsatisfiedConstraint,CONSTR,initRandomSize,KeyGeneratorSpec.mop:172,violation
KeyGeneratorSpec,KEYGENERATOR-NOBS-01,UnsatisfiedConstraint,NOBS,initRandomSize,KeyGeneratorSpec.mop:176,not-observed
KeyGeneratorSpec,KEYGENERATOR-CONSTR-02,UnsatisfiedConstraint,CONSTR,initRandomSpec,KeyGeneratorSpec.mop:188,violation
KeyGeneratorSpec,KEYGENERATOR-NOBS-02,UnsatisfiedConstraint,NOBS,initRandomSpec,KeyGeneratorSpec.mop:192,not-observed
KeyGeneratorSpec,KEYGENERATOR-ALG-00,UnsafeAlgorithm,ALG,gk1,KeyGeneratorSpec.mop:201,violation
KeyGeneratorSpec,KEYGENERATOR-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyGeneratorSpec.mop:220,sequence
KeyGeneratorSpec,KEYGENERATOR-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyGeneratorSpec.mop:212,creation-unobserved
KeyManagerFactorySpec,KEYMANAGERFACTORY-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyManagerFactorySpec.mop:254,creation-refused
KeyManagerFactorySpec,KEYMANAGERFACTORY-ALG-00,UnsafeAlgorithm,ALG,init,KeyManagerFactorySpec.mop:154,violation
KeyManagerFactorySpec,KEYMANAGERFACTORY-CONSTR-00,UnsatisfiedConstraint,CONSTR,init,KeyManagerFactorySpec.mop:160,violation
KeyManagerFactorySpec,KEYMANAGERFACTORY-CONSTR-01,UnsatisfiedConstraint,CONSTR,init,KeyManagerFactorySpec.mop:189,violation
KeyManagerFactorySpec,KEYMANAGERFACTORY-NOBS-00,UnsatisfiedConstraint,NOBS,init,KeyManagerFactorySpec.mop:168,not-observed
KeyManagerFactorySpec,KEYMANAGERFACTORY-NOBS-01,UnsatisfiedConstraint,NOBS,init,KeyManagerFactorySpec.mop:193,not-observed
KeyManagerFactorySpec,KEYMANAGERFACTORY-NOBS-02,UnsatisfiedConstraint,NOBS,init,KeyManagerFactorySpec.mop:164,platform-default
KeyManagerFactorySpec,KEYMANAGERFACTORY-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyManagerFactorySpec.mop:258,sequence
KeyManagerFactorySpec,KEYMANAGERFACTORY-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyManagerFactorySpec.mop:250,creation-unobserved
