apk,windows,widgets,flagged,wtg_edges,recovered,mop_acts,mop_acts_aug,opt_menus,transitions,complete
app.eduroam.geteduroam_2685.apk,6,0,0,0,0,0,4,0,27,True
app.maskan.chat_90.apk,2,0,0,0,0,0,2,0,6,True
app.michaelwuensch.bitbanana_79.apk,181,0,65,0,0,24,59,27,180,True
app.pachli_50.apk,45,0,0,0,0,2,31,5,0,True
app.plugbrain.android_154.apk,6,0,0,0,0,0,0,0,30,True
app.pwhs.universalinstaller_24.apk,27,0,0,0,0,0,23,0,0,True
at.techbee.jtx_216000015.apk,10,0,0,0,0,0,6,0,0,True
be.digitalia.fosdem_2300230.apk,10,0,0,0,0,0,9,1,0,True
br.com.colman.petals_3040000.apk,4,0,0,0,0,0,2,0,12,True
cc.sovellus.vrcaa_300007.apk,15,0,0,0,0,0,6,1,0,True
ch.joshuah.bibleverseapp_8.apk,1,0,0,0,0,0,0,0,3,True
ch.rmy.android.http_shortcuts_1104060001.apk,15,0,0,0,0,0,14,1,0,True
co.epitre.aelf_lectures_86.apk,14,0,0,8,0,0,3,1,27,True
com.a4a.g8invoicing_50.apk,3,0,0,0,0,0,2,0,14,True
com.absinthe.libchecker_2671.apk,23,0,12,0,0,12,14,3,0,True
com.afkanerd.deku_83.apk,8,0,0,1,0,0,2,1,29,True
com.antony.muzei.pixiv_327.apk,2,0,0,0,0,0,2,0,6,True
com.apps.adrcotfas.goodtime_348.apk,4,0,0,0,0,0,4,0,12,True
com.arslan.shizuwall_40.apk,7,0,32,0,0,3,7,0,0,True
com.beemdevelopment.aegis_81.apk,26,0,50,0,17,7,15,8,0,True
com.blacksquircle.ui_10028.apk,9,0,0,0,0,0,3,2,0,True
com.celzero.bravedns_619.apk,63,0,0,0,0,0,42,0,129,True
com.cointrend_10304.apk,3,0,0,0,0,0,2,0,15,True
com.craxiom.networksurvey_114.apk,5,0,0,0,0,0,3,0,13,True
com.daniebeler.pfpixelix_40.apk,3,0,0,0,0,0,1,0,9,True
com.darkrockstudios.app.securecamera_31.apk,3,0,0,0,0,0,2,0,16,True
com.darkrockstudios.apps.fasttrack_40.apk,9,0,0,0,0,0,5,0,35,True
com.defname.localshare_14.apk,3,0,0,0,0,0,2,0,0,True
com.dessalines.habitmaker_5501.apk,3,0,0,3,0,0,2,0,10,True
com.dessalines.rankmyfavs_44.apk,3,0,0,3,0,0,2,0,10,True
com.dessalines.thumbkey_179.apk,3,0,0,0,0,0,2,0,0,True
com.ds.avare_404.apk,53,0,8,0,0,2,21,0,0,True
com.etesync.syncadapter_20700.apk,67,0,0,50,0,0,3,7,236,True
com.faltenreich.diaguard_68.apk,5,0,0,7,0,0,0,1,33,True
com.flauschcode.broccoli_1040400.apk,9,0,0,3,0,0,0,2,34,True
com.floflacards.app_14.apk,4,0,0,0,0,0,3,0,19,True
com.flxrs.dankchat_40038.apk,5,0,0,0,0,1,4,0,0,True
com.fredhappyface.ewesticker_20250217.apk,1,0,1,3,0,1,1,0,16,True
com.gasperpintar.smokingtracker_12.apk,5,0,0,0,0,0,4,0,14,True
com.gaurav.avnc_51.apk,14,0,0,0,0,0,7,1,24,True
com.gelakinetic.mtgfam_99.apk,8,0,0,1,0,0,1,1,15,True
com.github.cvzi.screenshottile_148.apk,24,0,0,9,0,0,1,0,86,True
com.github.gotify_35.apk,9,0,0,0,0,0,7,2,0,True
com.github.livingwithhippos.unchained_60.apk,3,0,0,0,0,0,2,0,0,True
com.hegocre.nextcloudpasswords_38.apk,7,0,0,0,0,0,6,0,0,True
com.hwloc.lstopo_80283.apk,6,0,0,22,0,1,2,1,48,True
com.ivanovsky.passnotes_11700.apk,12,0,0,0,0,0,3,0,10,True
com.iyps_158.apk,3,0,0,0,0,0,3,0,9,True
com.jerboa_87.apk,4,0,0,3,0,0,2,0,18,True
com.js.nowakelock_87.apk,3,0,0,0,0,0,2,0,0,True
com.kin.easynotes_14.apk,4,0,0,0,0,0,2,0,12,True
com.kolktech.linxshare_22.apk,4,0,0,0,0,0,0,0,20,True
com.kwasow.musekit_1721768604.apk,3,0,0,0,0,0,2,0,15,True
com.kylecorry.trail_sense_145.apk,10,0,0,0,0,0,0,0,0,True
com.leekleak.trafficlight_38.apk,15,0,0,0,0,0,4,0,0,True
com.luk.saucenao_27.apk,3,0,0,0,0,0,3,0,9,True
com.manimarank.spell4wiki_21.apk,50,0,0,40,0,0,6,5,135,True
com.matedroid_178120864.apk,6,0,0,0,0,0,3,0,26,True
com.mateusrodcosta.apps.share2storage_34.apk,4,0,0,0,0,0,3,0,20,True
com.mateusrodcosta.apps.vidyamusic_2200.apk,3,0,0,0,0,0,2,0,15,True
com.mensinator.app_24.apk,5,0,0,0,0,0,2,0,20,True
com.micoyc.speakthat_58.apk,59,0,24,0,1,5,30,5,0,True
com.nononsenseapps.feeder.play_4025.apk,10,0,0,0,0,0,7,0,47,True
com.ominous.quickweather_112.apk,4,0,0,63,0,0,0,0,91,True
com.owncloud.android_48000100.apk,57,0,11,0,1,9,25,11,0,True
com.password.monitor_102.apk,3,0,0,0,0,0,3,0,9,True
com.quantum_prof.phantalandwaittimes_5.apk,3,0,0,0,0,0,0,0,15,True
com.rastislavkish.vscan_24.apk,14,0,6,38,0,5,14,0,93,True
com.rtbishop.look4sat_410.apk,3,0,0,0,0,0,0,0,15,True
com.sakethh.linkora_50.apk,4,0,0,0,0,0,3,0,0,True
com.sapuseven.untis_29198884.apk,9,0,0,2,0,0,5,0,38,True
com.schwegelbin.openbible_46.apk,3,0,0,0,0,0,2,0,15,True
com.serwylo.beatgame_35.apk,1,0,0,0,0,0,0,0,3,True
com.serwylo.retrowars_70.apk,1,0,0,0,0,0,0,0,3,True
com.smartpack.packagemanager_79.apk,17,0,10,23,10,6,8,0,67,True
com.sshborg_18.apk,2,0,0,0,0,0,2,0,6,True
com.starry.greenstash_440.apk,5,0,0,2,0,0,3,0,24,True
com.starry.myne_500.apk,5,0,0,2,0,0,3,0,24,True
com.surfaceocean.nexttraceroute_16.apk,1,0,0,0,0,0,1,0,3,True
com.tananaev.passportreader_22.apk,7,0,3,3,0,1,6,0,32,True
com.tk.quicksearch_65.apk,10,0,0,0,0,0,7,0,30,True
com.trianguloy.urlchecker_47.apk,58,0,0,278,0,0,0,4,1320,True
com.vermont.possin_8.apk,23,0,56,0,0,7,15,0,0,True
com.vishaltelangre.nerdcalci_490.apk,3,0,0,0,0,0,2,0,15,True
com.vrem.wifianalyzer_71.apk,11,0,0,10,0,0,0,1,29,True
com.yogeshpaliyal.deepr_28.apk,8,0,0,0,0,0,4,0,0,True
de.luhmer.owncloudnewsreader_196.apk,11,0,0,0,0,0,4,2,0,True
de.lukasneugebauer.nextcloudcookbook_62.apk,14,0,0,18,0,0,3,1,75,True
de.markusfisch.android.binaryeye_174.apk,31,0,33,177,0,10,14,11,499,True
de.markusfisch.android.shadereditor_93.apk,17,0,0,30,0,0,10,1,99,True
de.stephanlindauer.criticalmaps_104.apk,15,0,0,21,0,0,2,2,67,True
dev.anilbeesetti.nextplayer_42.apk,5,0,0,0,0,0,4,0,0,True
dev.dettmer.simplenotes_41.apk,8,0,0,0,0,0,6,0,0,True
dev.itsvic.parceltracker_10501000.apk,4,0,0,0,0,0,3,0,20,True
dev.leonlatsch.photok_62.apk,4,0,0,0,0,0,4,0,12,True
dev.patri9ck.a2ln_25.apk,3,0,0,0,0,0,1,0,8,True
dev.sebaubuntu.athena_17.apk,2,0,0,0,0,0,0,0,6,True
dev.spiegl.flyingcarpet_21.apk,7,0,8,8,0,1,1,0,17,True
dev.ukanth.ufirewall_20260301.apk,30,0,0,146,0,0,0,7,440,True
eu.darken.myperm_20101000.apk,8,0,0,0,0,0,4,0,34,True
eu.darken.sdmse_10705000.apk,8,0,0,0,0,0,4,0,0,True
eu.faircode.email_2322.apk,38,0,1156,0,0,12,24,5,0,True
eu.opencloud.android_9.apk,49,0,9,0,1,6,24,8,0,True
fr.corenting.traficparis_34.apk,3,0,0,0,0,0,2,0,15,True
github.paroj.dsub2000_217.apk,7,0,11,23,0,3,4,1,80,True
io.github.garemat.lunachron_23201.apk,3,0,0,0,0,0,2,0,15,True
io.github.jd1378.otphelper_52000.apk,11,0,0,18,0,0,3,1,69,True
io.github.samolego.canta_225.apk,5,0,0,0,0,0,3,0,20,True
io.keepalive.android_133.apk,5,0,24,33,0,4,4,1,59,True
io.treehouses.remote_6098.apk,92,0,0,7,0,0,8,2,62,True
it.danieleverducci.nextcloudmaps_9.apk,6,0,0,9,0,0,0,0,31,True
it.niedermann.owncloud.notes_340000090.apk,30,0,0,0,0,0,13,11,0,True
jwtc.android.chess_283.apk,42,0,0,117,0,0,0,1,486,True
me.diamondforge.tokn_19.apk,2,0,0,0,0,0,2,0,0,True
me.hackerchick.sharetoinputstick_26.apk,19,0,0,2,0,0,1,0,12,True
me.mudkip.moememos_48.apk,7,0,0,0,0,0,4,0,28,True
me.rosuh.easywatermark_21000.apk,7,0,5,0,0,1,4,1,0,True
me.testcase.ognarviewer_25.apk,12,0,0,20,0,0,4,2,71,True
me.timschneeberger.rootlessjamesdsp_51.apk,26,0,0,41,0,0,16,3,205,True
me.zhanghai.android.untracker_9.apk,4,0,0,0,0,0,3,0,20,True
net.adhikary.mrtbuddy_24.apk,2,0,0,0,0,0,0,0,6,True
net.christianbeier.droidvnc_ng_60.apk,16,0,0,16,0,0,0,0,57,True
net.gaast.giggity_769.apk,27,0,0,34,0,0,0,2,164,True
net.osmtracker_73.apk,97,0,0,97,0,1,3,7,287,True
net.pfiers.osmfocus_1009013.apk,7,0,0,0,0,0,4,0,0,True
net.phbwt.paperwork_1003007.apk,6,0,0,0,0,0,3,0,26,True
nz.eloque.foss_wallet_111.apk,6,0,0,0,0,0,3,0,19,True
org.cry.otp_31.apk,39,0,3,15,2,1,2,2,255,True
org.css_apps_m3.password_manager_16.apk,5,0,0,0,0,0,4,0,25,True
org.fedorahosted.freeotp_48.apk,5,0,0,11,0,0,2,1,36,True
org.fossify.calendar_20.apk,37,0,48,0,0,11,21,0,63,True
org.fossify.keyboard_14.apk,14,0,0,0,0,0,13,0,39,True
org.fossify.math_10.apk,17,0,1,0,0,1,16,0,48,True
org.fossify.messages_20.apk,23,0,0,0,0,0,19,0,57,True
org.fossify.musicplayer_14.apk,20,0,3,0,0,3,19,0,57,True
org.fossify.notes_13.apk,15,0,3,0,0,1,13,1,39,True
org.fossify.paint_7.apk,13,0,0,0,0,0,12,0,36,True
org.fossify.voicerecorder_18.apk,15,0,0,0,0,0,14,0,42,True
org.glpi.inventory.agent_39469.apk,11,0,4,0,0,3,6,0,0,True
org.hwyl.sexytopo_93.apk,27,0,20,265,10,4,14,13,402,True
org.isoron.uhabits_20301.apk,22,0,0,0,0,0,8,2,33,True
org.jellyfin.mobile_2060499.apk,3,0,0,0,0,0,1,0,0,True
org.liberty.android.fantastischmemo_241.apk,147,0,0,383,0,0,0,8,712,True
org.musicbrainz.picard.barcodescanner_38.apk,12,0,0,20,0,0,5,5,81,True
org.nqmgaming.aneko_34.apk,4,0,0,0,0,0,3,0,18,True
org.nsh07.pomodoro_34.apk,4,0,0,0,0,0,2,0,12,True
org.openhab.habdroid_589.apk,28,0,0,0,0,0,19,9,0,True
org.piepmeyer.gauguin_75.apk,8,0,0,0,0,0,8,0,28,True
org.prauga.messages_8.apk,34,0,12,0,0,12,12,12,0,True
org.quantumbadger.redreader_117.apk,42,0,912,1571,63,19,23,9,24300,True
org.tomasino.stutter_29.apk,4,0,0,0,0,0,3,0,20,True
org.totschnig.myexpenses_858.apk,96,0,128,0,0,29,47,41,0,True
org.wikipedia_50595.apk,102,0,10,0,0,3,76,14,237,True
rocks.poopjournal.metadataremover_20020.apk,10,0,0,6,0,0,6,2,35,True
se.arctosoft.vault_41.apk,5,0,0,2,0,0,3,1,17,True
swati4star.createpdf_110.apk,28,0,0,16,0,0,5,4,72,True
systems.sieber.droid_scep_7.apk,11,0,0,3,0,0,1,1,18,True
ua.acclorite.book_story_14.apk,3,0,0,0,0,0,2,0,9,True
ua.com.radiokot.lnaddr2invoice_8.apk,3,0,0,0,0,0,0,0,9,True
ua.com.radiokot.photoprism_67.apk,31,0,0,31,0,0,21,9,138,True
uk.org.ngo.squeezer_158.apk,23,0,0,0,0,0,0,5,0,True
vadimerenkov.aucards_21.apk,6,0,0,0,0,0,3,0,25,True
