apk,dex_files,wrappers,arity_pairs,arity_wrappers,arity_call_sites,arity_inline_hooks,arity_detail,subtype_unwoven,subtype_targets,subtype_detail,before_hooks,branch_target_hooks,branch_detail,keystore_entry_calls,keystore_entry_woven,error
com.defname.localshare_14.apk,17,141,0,0,0,0,,0,0,,41,0,,1,1,
com.dessalines.habitmaker_5501.apk,16,141,0,0,0,0,,0,0,,15,0,,0,0,
com.dessalines.rankmyfavs_44.apk,15,141,0,0,0,0,,0,0,,14,0,,0,0,
com.dessalines.thumbkey_179.apk,17,141,0,0,0,0,,0,0,,15,0,,0,0,
com.ds.avare_404.apk,21,141,0,0,0,0,,0,0,,113,0,,0,0,
com.etesync.syncadapter_20700.apk,3,141,0,0,0,0,,0,0,,43,0,,1,1,
com.faltenreich.diaguard_68.apk,21,141,0,0,0,0,,0,0,,6,0,,0,0,
com.flauschcode.broccoli_1040400.apk,17,141,0,0,0,0,,0,0,,1,0,,0,0,
com.floflacards.app_14.apk,18,141,0,0,0,0,,0,0,,10,0,,0,0,
com.flxrs.dankchat_40038.apk,23,141,0,0,0,0,,0,0,,15,0,,0,0,
com.fredhappyface.ewesticker_20250217.apk,9,141,0,0,0,0,,0,0,,10,0,,0,0,
com.gasperpintar.smokingtracker_12.apk,18,141,0,0,0,0,,0,0,,28,0,,0,0,
com.gaurav.avnc_51.apk,15,141,0,0,0,0,,0,0,,145,0,,0,0,
com.gelakinetic.mtgfam_99.apk,15,141,0,0,0,0,,0,0,,1,0,,0,0,
com.github.cvzi.screenshottile_148.apk,16,141,0,0,0,0,,0,0,,2,0,,0,0,
com.github.gotify_35.apk,17,141,0,0,0,0,,0,0,,16,0,,0,0,
com.github.livingwithhippos.unchained_60.apk,21,141,0,0,0,0,,0,0,,9,0,,0,0,
com.hegocre.nextcloudpasswords_38.apk,18,141,0,0,0,0,,0,0,,97,0,,0,0,
com.hwloc.lstopo_80283.apk,5,141,0,0,0,0,,0,0,,0,0,,0,0,
com.ivanovsky.passnotes_11700.apk,22,141,0,0,0,0,,0,0,,68,0,,3,3,
com.iyps_158.apk,16,141,0,0,0,0,,0,0,,8,0,,0,0,
com.jerboa_87.apk,22,141,0,0,0,0,,0,0,,25,0,,0,0,
com.js.nowakelock_87.apk,18,141,0,0,0,0,,0,0,,10,0,,0,0,
com.kin.easynotes_14.apk,19,141,0,0,0,0,,0,0,,19,0,,0,0,
com.kolktech.linxshare_22.apk,7,141,0,0,0,0,,0,0,,7,0,,0,0,
com.kwasow.musekit_1721768604.apk,20,141,0,0,0,0,,0,0,,6,0,,0,0,
com.kylecorry.trail_sense_145.apk,22,141,0,0,0,0,,0,0,,7,0,,0,0,
com.leekleak.trafficlight_38.apk,19,141,0,0,0,0,,0,0,,118,0,,1,1,
com.luk.saucenao_27.apk,10,141,0,0,0,0,,0,0,,10,0,,0,0,
com.manimarank.spell4wiki_21.apk,17,141,0,0,0,0,,0,0,,9,0,,0,0,
com.matedroid_178120864.apk,19,141,0,0,0,0,,0,0,,7,0,,0,0,
com.mateusrodcosta.apps.share2storage_34.apk,22,141,0,0,0,0,,0,0,,6,0,,0,0,
com.mateusrodcosta.apps.vidyamusic_2200.apk,22,141,0,0,0,0,,0,0,,33,0,,0,0,
com.mensinator.app_24.apk,14,141,0,0,0,0,,0,0,,1,0,,0,0,
com.micoyc.speakthat_58.apk,12,141,0,0,0,0,,0,0,,10,0,,0,0,
com.nononsenseapps.feeder.play_4025.apk,22,141,0,0,0,0,,0,0,,17,0,,0,0,
com.ominous.quickweather_112.apk,17,141,0,0,0,0,,0,0,,13,0,,0,0,
com.owncloud.android_48000100.apk,34,141,0,0,0,0,,0,0,,34,0,,0,0,
com.password.monitor_102.apk,17,141,0,0,0,0,,0,0,,12,0,,0,0,
com.quantum_prof.phantalandwaittimes_5.apk,13,141,0,0,0,0,,0,0,,10,0,,0,0,
com.rastislavkish.vscan_24.apk,14,141,0,0,0,0,,0,0,,22,0,,0,0,
com.rtbishop.look4sat_410.apk,19,141,0,0,0,0,,0,0,,7,0,,0,0,
com.sakethh.linkora_50.apk,21,141,0,0,0,0,,0,0,,29,0,,0,0,
com.sapuseven.untis_29198884.apk,22,141,0,0,0,0,,0,0,,35,0,,0,0,
com.schwegelbin.openbible_46.apk,10,141,0,0,0,0,,0,0,,5,0,,0,0,
com.serwylo.beatgame_35.apk,2,141,0,0,0,0,,0,0,,18,0,,0,0,
com.serwylo.retrowars_70.apk,4,141,0,0,0,0,,0,0,,46,0,,0,0,
com.shatteredpixel.shatteredpixeldungeon_896.apk,5,141,0,0,0,0,,0,0,,1,0,,0,0,
com.smartpack.packagemanager_79.apk,14,141,0,0,0,0,,0,0,,5,0,,0,0,
com.sshborg_18.apk,15,141,0,0,0,0,,0,0,,243,0,,0,0,
com.starry.greenstash_440.apk,20,141,0,0,0,0,,0,0,,13,0,,0,0,
com.starry.myne_500.apk,21,141,0,0,0,0,,0,0,,7,0,,0,0,
com.surfaceocean.nexttraceroute_16.apk,8,141,0,0,0,0,,0,0,,14,0,,0,0,
com.tananaev.passportreader_22.apk,7,141,0,0,0,0,,0,0,,401,0,,0,0,
com.tk.quicksearch_65.apk,21,141,0,0,0,0,,0,0,,72,0,,0,0,
com.trianguloy.urlchecker_47.apk,2,141,0,0,0,0,,0,0,,1,0,,0,0,
com.vermont.possin_8.apk,14,141,0,0,0,0,,0,0,,173,0,,0,0,
com.vishaltelangre.nerdcalci_490.apk,13,141,0,0,0,0,,0,0,,1,0,,0,0,
com.vrem.wifianalyzer_71.apk,18,141,0,0,0,0,,0,0,,1,0,,0,0,
com.yogeshpaliyal.deepr_28.apk,18,141,0,0,0,0,,0,0,,35,0,,0,0,
de.luhmer.owncloudnewsreader_196.apk,18,141,0,0,0,0,,0,0,,13,0,,0,0,
de.lukasneugebauer.nextcloudcookbook_62.apk,22,141,0,0,0,0,,0,0,,11,0,,0,0,
de.markusfisch.android.binaryeye_174.apk,19,141,0,0,0,0,,0,0,,379,0,,0,0,
de.markusfisch.android.shadereditor_93.apk,17,141,0,0,0,0,,0,0,,6,0,,0,0,
de.stephanlindauer.criticalmaps_104.apk,16,141,0,0,0,0,,0,0,,7,0,,0,0,
dev.anilbeesetti.nextplayer_42.apk,12,141,0,0,0,0,,0,0,,12,0,,0,0,
dev.dettmer.simplenotes_41.apk,20,141,0,0,0,0,,0,0,,76,0,,0,0,
dev.itsvic.parceltracker_10501000.apk,10,141,0,0,0,0,,0,0,,11,0,,0,0,
dev.leonlatsch.photok_62.apk,21,141,0,0,0,0,,0,0,,45,0,,0,0,
dev.patri9ck.a2ln_25.apk,12,141,0,0,0,0,,0,0,,3,0,,0,0,
dev.sebaubuntu.athena_17.apk,14,141,0,0,0,0,,0,0,,10,0,,0,0,
dev.spiegl.flyingcarpet_21.apk,5,141,0,0,0,0,,0,0,,3,0,,0,0,
dev.ukanth.ufirewall_20260301.apk,15,141,0,0,0,0,,0,0,,24,0,,0,0,
eu.darken.myperm_20101000.apk,23,141,0,0,0,0,,0,0,,10,0,,0,0,
eu.darken.sdmse_10705000.apk,38,141,0,0,0,0,,0,0,,15,0,,0,0,
eu.faircode.email_2322.apk,24,141,0,0,0,0,,0,0,,451,0,,1,1,
eu.opencloud.android_9.apk,34,141,0,0,0,0,,0,0,,33,0,,0,0,
fr.corenting.traficparis_34.apk,9,141,0,0,0,0,,0,0,,12,0,,0,0,
github.paroj.dsub2000_217.apk,15,141,0,0,0,0,,0,0,,16,0,,0,0,
io.github.garemat.lunachron_23201.apk,10,141,0,0,0,0,,0,0,,16,0,,0,0,
io.github.jd1378.otphelper_52000.apk,17,141,0,0,0,0,,0,0,,6,0,,0,0,
io.github.samolego.canta_225.apk,17,141,0,0,0,0,,0,0,,9,0,,0,0,
io.keepalive.android_133.apk,8,141,0,0,0,0,,0,0,,7,0,,0,0,
io.treehouses.remote_6098.apk,18,141,0,0,0,0,,0,0,,44,0,,0,0,
it.danieleverducci.nextcloudmaps_9.apk,14,141,0,0,0,0,,0,0,,5,0,,0,0,
it.niedermann.owncloud.notes_340000090.apk,22,141,0,0,0,0,,0,0,,362,0,,0,0,
jwtc.android.chess_283.apk,14,141,0,0,0,0,,0,0,,9,0,,0,0,
me.diamondforge.tokn_19.apk,28,141,0,0,0,0,,0,0,,278,0,,1,1,
me.hackerchick.sharetoinputstick_26.apk,11,141,0,0,0,0,,0,0,,4,0,,0,0,
me.mudkip.moememos_48.apk,20,141,0,0,0,0,,0,0,,14,0,,0,0,
me.rosuh.easywatermark_21000.apk,16,141,0,0,0,0,,0,0,,9,0,,0,0,
me.testcase.ognarviewer_25.apk,13,141,0,0,0,0,,0,0,,5,0,,0,0,
me.timschneeberger.rootlessjamesdsp_51.apk,20,141,0,0,0,0,,0,0,,10,0,,0,0,
me.zhanghai.android.untracker_9.apk,16,141,0,0,0,0,,0,0,,7,0,,0,0,
net.adhikary.mrtbuddy_24.apk,17,141,0,0,0,0,,0,0,,6,0,,0,0,
net.christianbeier.droidvnc_ng_60.apk,6,141,0,0,0,0,,0,0,,1,0,,0,0,
net.gaast.giggity_769.apk,4,141,0,0,0,0,,0,0,,0,0,,0,0,
net.osmtracker_73.apk,15,141,0,0,0,0,,0,0,,3,0,,0,0,
net.pfiers.osmfocus_1009013.apk,20,141,0,0,0,0,,0,0,,13,0,,0,0,
net.phbwt.paperwork_1003007.apk,17,141,0,0,0,0,,0,0,,14,0,,0,0,
nz.eloque.foss_wallet_111.apk,20,141,0,0,0,0,,0,0,,8,0,,0,0,
org.cry.otp_31.apk,4,141,0,0,0,0,,0,0,,3,0,,0,0,
org.css_apps_m3.password_manager_16.apk,11,141,0,0,0,0,,0,0,,79,0,,0,0,
org.fedorahosted.freeotp_48.apk,10,141,0,0,0,0,,0,0,,20,0,,3,3,
org.fossify.calendar_20.apk,18,141,0,0,0,0,,0,0,,4,0,,0,0,
org.fossify.keyboard_14.apk,15,141,0,0,0,0,,0,0,,4,0,,0,0,
org.fossify.math_10.apk,17,141,0,0,0,0,,0,0,,4,0,,0,0,
org.fossify.messages_20.apk,13,141,0,0,0,0,,0,0,,4,0,,0,0,
org.fossify.musicplayer_14.apk,19,141,0,0,0,0,,0,0,,13,0,,0,0,
org.fossify.notes_13.apk,15,141,0,0,0,0,,0,0,,4,0,,0,0,
org.fossify.paint_7.apk,15,141,0,0,0,0,,0,0,,4,0,,0,0,
org.fossify.voicerecorder_18.apk,16,141,0,0,0,0,,0,0,,4,0,,0,0,
org.glpi.inventory.agent_39469.apk,15,141,0,0,0,0,,0,0,,9,0,,0,0,
org.hwyl.sexytopo_93.apk,19,141,0,0,0,0,,0,0,,12,0,,0,0,
org.isoron.uhabits_20301.apk,21,141,0,0,0,0,,0,0,,7,0,,0,0,
org.jellyfin.mobile_2060499.apk,21,141,0,0,0,0,,0,0,,16,0,,0,0,
org.liberty.android.fantastischmemo_241.apk,20,141,0,0,0,0,,0,0,,11,0,,0,0,
org.musicbrainz.picard.barcodescanner_38.apk,9,141,0,0,0,0,,0,0,,10,0,,0,0,
org.nqmgaming.aneko_34.apk,18,141,0,0,0,0,,0,0,,15,0,,0,0,
org.nsh07.pomodoro_34.apk,24,141,0,0,0,0,,0,0,,1,0,,0,0,
org.openhab.habdroid_589.apk,16,141,0,0,0,0,,0,0,,80,0,,0,0,
org.piepmeyer.gauguin_75.apk,25,141,0,0,0,0,,0,0,,4,0,,0,0,
org.prauga.messages_8.apk,6,141,0,0,0,0,,0,0,,17,0,,0,0,
org.quantumbadger.redreader_117.apk,23,141,0,0,0,0,,0,0,,17,0,,0,0,
org.tomasino.stutter_29.apk,11,141,0,0,0,0,,0,0,,9,0,,0,0,
org.totschnig.myexpenses_858.apk,31,141,0,0,0,0,,0,0,,99,0,,0,0,
org.wikipedia_50595.apk,24,141,0,0,0,0,,0,0,,14,0,,0,0,
rocks.poopjournal.metadataremover_20020.apk,21,141,0,0,0,0,,0,0,,349,0,,0,0,
se.arctosoft.vault_41.apk,19,141,0,0,0,0,,0,0,,86,0,,0,0,
swati4star.createpdf_110.apk,14,141,0,0,0,0,,0,0,,307,0,,0,0,
systems.sieber.droid_scep_7.apk,4,141,0,0,0,0,,0,0,,324,0,,0,0,
ua.acclorite.book_story_14.apk,22,141,0,0,0,0,,0,0,,323,0,,0,0,
ua.com.radiokot.lnaddr2invoice_8.apk,12,141,0,0,0,0,,0,0,,9,0,,0,0,
ua.com.radiokot.photoprism_67.apk,20,141,0,0,0,0,,0,0,,26,0,,0,0,
uk.org.ngo.squeezer_158.apk,14,141,0,0,0,0,,0,0,,5,0,,0,0,
vadimerenkov.aucards_21.apk,17,141,0,0,0,0,,0,0,,11,0,,0,0,
TOTAL,2726,141,0,0,0,0,,0,0,,7951,0,,23,23,
