apk,dex_files,wrappers,arity_pairs,arity_wrappers,arity_call_sites,arity_inline_hooks,arity_detail,subtype_unwoven,subtype_targets,subtype_detail,before_hooks,branch_target_hooks,branch_detail,keystore_entry_calls,keystore_entry_woven,error
app.eduroam.geteduroam_2685.apk,18,141,0,0,0,0,,0,0,,14,0,,0,0,
app.maskan.chat_90.apk,13,141,0,0,0,0,,0,0,,73,0,,0,0,
app.michaelwuensch.bitbanana_79.apk,21,141,0,0,0,0,,0,0,,132,0,,0,0,
app.pachli_50.apk,24,141,0,0,0,0,,0,0,,145,0,,3,3,
app.plugbrain.android_154.apk,20,141,0,0,0,0,,0,0,,6,0,,0,0,
app.pwhs.universalinstaller_24.apk,25,141,0,0,0,0,,0,0,,57,0,,0,0,
at.techbee.jtx_216000015.apk,22,141,0,0,0,0,,0,0,,20,0,,0,0,
be.digitalia.fosdem_2300230.apk,17,141,0,0,0,0,,0,0,,14,0,,0,0,
br.com.colman.petals_3040000.apk,19,141,0,0,0,0,,0,0,,6,0,,0,0,
cc.sovellus.vrcaa_300007.apk,22,141,0,0,0,0,,0,0,,7,0,,0,0,
ch.joshuah.bibleverseapp_8.apk,11,141,0,0,0,0,,0,0,,9,0,,0,0,
ch.rmy.android.http_shortcuts_1104060001.apk,32,141,0,0,0,0,,0,0,,55,0,,1,1,
co.epitre.aelf_lectures_86.apk,16,141,0,0,0,0,,0,0,,17,0,,0,0,
com.a4a.g8invoicing_50.apk,22,141,0,0,0,0,,0,0,,80,0,,0,0,
com.absinthe.libchecker_2671.apk,21,141,0,0,0,0,,0,0,,73,0,,0,0,
com.afkanerd.deku_83.apk,3,141,0,0,0,0,,0,0,,81,0,,4,4,
com.antony.muzei.pixiv_327.apk,2,141,0,0,0,0,,0,0,,5,0,,0,0,
com.apps.adrcotfas.goodtime_348.apk,20,141,0,0,0,0,,0,0,,7,0,,0,0,
com.arslan.shizuwall_40.apk,16,141,0,0,0,0,,0,0,,363,0,,1,1,
com.beemdevelopment.aegis_81.apk,20,141,0,0,0,0,,0,0,,240,0,,0,0,
com.blacksquircle.ui_10028.apk,29,141,0,0,0,0,,0,0,,262,0,,0,0,
com.celzero.bravedns_619.apk,20,141,0,0,0,0,,0,0,,75,0,,0,0,
com.cointrend_10304.apk,11,141,0,0,0,0,,0,0,,7,0,,0,0,
com.craxiom.networksurvey_114.apk,24,141,0,0,0,0,,0,0,,55,0,,2,2,
com.daniebeler.pfpixelix_40.apk,24,141,0,0,0,0,,0,0,,17,0,,0,0,
com.darkrockstudios.app.securecamera_31.apk,16,141,0,0,0,0,,0,0,,59,0,,1,1,
com.darkrockstudios.apps.fasttrack_40.apk,18,141,0,0,0,0,,0,0,,61,0,,0,0,
